Plate Reference, East(X), North (Y), Height (Z), Support Name, Room, Level, Support Type, Dtata Sheet, Page, Fire Rated, Designer
/1HFA10SV0078/1, 555975.00, 164822.00, 4310.00, /1HFA10SV0078, /1HFA1004ZL-, 10, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 2, E, D. Rothwell
/1HFA10SV0078/2, 555975.00, 165972.00, 4310.00, /1HFA10SV0078, /1HFA1004ZL-, 10, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 2, E, D. Rothwell
/1HFA10SV0046/1, 556725.00, 164822.00, 4310.00, /1HFA10SV0046, /1HFA1004ZL-, 10, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 2, E, D. Rothwell
/1HFA10SV0046/2, 556725.00, 165972.00, 4310.00, /1HFA10SV0046, /1HFA1004ZL-, 10, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 2, E, D. Rothwell
/1HFA10SV0079/1, 553575.00, 164830.00, 4310.00, /1HFA10SV0079, /1HFA1004ZL-, 10, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 2, E, D. Rothwell
/1HFA10SV0079/2, 553575.00, 165980.00, 4310.00, /1HFA10SV0079, /1HFA1004ZL-, 10, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 2, E, D. Rothwell
/1HFA10SV0047/1, 554475.00, 164822.00, 4310.00, /1HFA10SV0047, /1HFA1004ZL-, 10, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 2, E, D. Rothwell
/1HFA10SV0047/2, 554475.00, 165972.00, 4310.00, /1HFA10SV0047, /1HFA1004ZL-, 10, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 2, E, D. Rothwell
/1HFA10SV0045/1, 552078.00, 164835.00, 4310.00, /1HFA10SV0045, /1HFA1004ZL-, 10, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 2, E, D. Rothwell
/1HFA10SV0045/2, 552078.00, 165965.00, 4310.00, /1HFA10SV0045, /1HFA1004ZL-, 10, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 2, E, D. Rothwell
/1HFA10SV0044/1, 550875.00, 167050.00, 4310.00, /1HFA10SV0044, /1HFA1005ZL-, 10, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 2, E, D. Rothwell
/1HFA10SV0044/2, 551975.00, 167050.00, 4310.00, /1HFA10SV0044, /1HFA1005ZL-, 10, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 2, E, D. Rothwell
/1HFA10SV0043/1, 550850.00, 168500.00, 4310.00, /1HFA10SV0043, /1HFA1005ZL-, 10, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 2, E, D. Rothwell
/1HFA10SV0043/2, 552000.00, 168500.00, 4310.00, /1HFA10SV0043, /1HFA1005ZL-, 10, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 2, E, D. Rothwell
/1HFA10SV0080/1, 550850.00, 170000.00, 4310.00, /1HFA10SV0080, /1HFA1005ZL-, 10, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 2, E, D. Rothwell
