Support Name, Line Number,Support Type, Support Data Sheet, Data Page,Room, Level, Wrap, Fire Rating, AFC, Approved, A, B, C, D, E
/1HFA04SV0070, /1DVF5214GL-, Support Type 7 - Fire Damper Vertical Floor Support 1, 45062_MWG_DR_00080_40008_Support_Type_7, 4,/1HFA0404ZL-, 04, Yes, EIS, No, Yes, 500, 500
/1HFA04SV0049, /1DVF5221GL-, Support Type 7 - Fire Damper Wall Support 3, 45062_MWG_DR_00080_40008_Support_Type_7, 3,/1HFA0403ZL-, 04, Yes, EIS, No, Yes, 500, 500
/1HFA04SV0042, /1DVF5225GL-, Support Type 7 - Fire Damper Wall Support 1, 45062_MWG_DR_00080_40008_Support_Type_7, 1,/1HFA0405ZL-, 04, Yes, EIS, No, Yes, 800, 1000
/1HFA04SV0076, /1DVF5290GL-, Support Type 7 - Fire Damper Wall Support 3, 45062_MWG_DR_00080_40008_Support_Type_7, 3,/1HFA0404ZL-, 04, Yes, No, No, Yes, 500, 500
/1HFA10SV0055, /1DVF5301GL-, Support Type 7 - Fire Damper Wall Support 3, 45062_MWG_DR_00080_40008_Support_Type_7, 3,/1HFA1004ZL-, 10, Yes, EIS, No, Yes, 800, 700
/1HFA10SV0056, /1DVF5318GL-, Support Type 7 - Fire Damper Wall Support 3, 45062_MWG_DR_00080_40008_Support_Type_7, 3,/1HFA1005ZL-, 10, Yes, EIS, No, Yes, 1000, 800
/1HFB0ASV0022, /1DVF6113GL-, Support Type 7 - Fire Damper Wall Support 1, 45062_MWG_DR_00080_40008_Support_Type_7, 1,/1HFB0A03ZL-, 0A, Yes, EIS, No, Yes, 900, 700
/1HFB04SV0037, /1DVF6202GL-, Support Type 7 - Fire Damper Vertical Floor Support 1, 45062_MWG_DR_00080_40008_Support_Type_7, 4,/1HFB0404ZL-, 04, Yes, EIS, Yes, Yes, 900, 800
/1HFB04SV0065, /1DVF6204GL-, Support Type 7 - Fire Damper Vertical Floor Support 1, 45062_MWG_DR_00080_40008_Support_Type_7, 4,/1HFB0404ZL-, 04, Yes, EIS, Yes, Yes, 900, 800
/1HFB04SV0066, /1DVF6206GL-, Support Type 7 - Fire Damper Vertical Floor Support 1, 45062_MWG_DR_00080_40008_Support_Type_7, 4,/1HFB0404ZL-, 04, Yes, EIS, Yes, Yes, 900, 800
/1HFB04SV0059, /1DVF6208GL-, Support Type 7 - Fire Damper Wall Support 1, 45062_MWG_DR_00080_40008_Support_Type_7, 1,/1HFB0404ZL-, 04, Yes, No, No, Yes, 500, 500
/1HFB04SV0048, /1DVF6211GL-, Support Type 7 - Fire Damper Wall Support 1, 45062_MWG_DR_00080_40008_Support_Type_7, 1,/1HFB0403ZL-, 04, No, No, No, Yes, 500, 500
/1HFB04SV0050, /1DVF6220GL-, Support Type 7 - Fire Damper Wall Support 3, 45062_MWG_DR_00080_40008_Support_Type_7, 3,/1HFB0405ZL-, 04, Yes, EIS, No, Yes, 800, 1000
/1HFB10SV0098, /1DVF6301GL-, Support Type 7 - Fire Damper Wall Support 1, 45062_MWG_DR_00080_40008_Support_Type_7, 1,/1HFB1004ZL-, 10, Yes, No, No, Yes, 800, 700
/1HFB10SV0077, /1DVF6314GL-, Support Type 7 - Fire Damper Wall Support 1, 45062_MWG_DR_00080_40008_Support_Type_7, 1,/1HFB1005ZL-, 10, No, No, No, Yes, 1000, 800
/1HFA0ASV0022, /1DVF7102GL-, Support Type 7 - Fire Damper Wall Support 2, 45062_MWG_DR_00080_40008_Support_Type_7, 2,/1HFA0A02ZL-, 0A, Yes, EIS, No, Yes, 900, 900
/1HFB0ASV0023, /1DVF7124GL-, Support Type 7 - Fire Damper Wall Support 2, 45062_MWG_DR_00080_40008_Support_Type_7, 2,/1HFB0A02ZL-, 0A, Yes, EIS, No, Yes, 900, 900
