Plate Name, Support Name, Plate Length, Plate Width, Plate Thickness, Line Number, Support Room, Room Description, Level, Support Type, Data Sheet, Sheet, Designer
/1HFA0ASV0025/2, /1HFA0ASV0025, 300, 150, 10, /1DVF1110GL-, /1HFA0A02ZL-, Firefighting Stairs, 0A, Support Type 7 - Fire Damper Wall Support 1, 45062_MWG_DR_00080_40008_Support_Type_7, 1, D. Rothwell
/1HFA0ASV0026/1, /1HFA0ASV0026, 250, 300, 15, /1DVF1110GL-, /1HFA0A02ZL-, Firefighting Stairs, 0A, Support Type 5 - Special, 45062_MWG_DR_00080_40005_Support_Type_5, 4, D. Rothwell
/1HFA0ASV0031/1, /1HFA0ASV0031, 250, 300, 15, /1DVF1110GL-, /1HFA0A02ZL-, Firefighting Stairs, 0A,  Support Type 5 - Wall Support Cantilever, 45062_MWG_DR_00080_40005_Support_Type_5, 4, D. Rothwell
/1HFA0ASV0006/1, /1HFA0ASV0006, 300, 150, 10, /1DVF1110GL-, /1HFA0A02ZL-, Firefighting Stairs, 0A, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
/1HFA0ASV0006/2, /1HFA0ASV0006, 300, 150, 10, /1DVF1110GL-, /1HFA0A02ZL-, Firefighting Stairs, 0A, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
/1HFA0ASV0038/1, /1HFA0ASV0038, 250, 300, 15, /1DVF1110GL-, /1HFA0A02ZL-, Firefighting Stairs, 0A,  Support Type 5 - Wall Support Cantilever, 45062_MWG_DR_00080_40005_Support_Type_5, 3, D. Rothwell
/1HFA0ASV0038/2, /1HFA0ASV0038, 250, 300, 15, /1DVF1110GL-, /1HFA0A02ZL-, Firefighting Stairs, 0A,  Support Type 5 - Wall Support Cantilever, 45062_MWG_DR_00080_40005_Support_Type_5, 3, D. Rothwell
/1HFA0ASV0028/1, /1HFA0ASV0028, 300, 150, 10, /1DVF1110GL-, /1HFA0A02ZL-, Firefighting Stairs, 0A, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
/1HFA0ASV0028/2, /1HFA0ASV0028, 300, 150, 10, /1DVF1110GL-, /1HFA0A02ZL-, Firefighting Stairs, 0A, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
/1HFA0ASV0017/1, /1HFA0ASV0017, 250, 300, 15, /1DVF1110GL-, /1HFA0A02ZL-, Firefighting Stairs, 0A, Support Type 7 - Fire Damper Wall Support 1, 45062_MWG_DR_00080_40008_Support_Type_7, 1, D. Rothwell
/1HFA0ASV0017/2, /1HFA0ASV0017, 250, 300, 15, /1DVF1110GL-, /1HFA0A02ZL-, Firefighting Stairs, 0A, Support Type 7 - Fire Damper Wall Support 1, 45062_MWG_DR_00080_40008_Support_Type_7, 1, D. Rothwell
/1HFA04SV0012/1, /1HFA04SV0012, 250, 300, 15, /1DVF1201GL-, /1HFA0404ZL-, Cable deck, 04, Support Type 9 - Vertical Duct Wall Support, 45062_MWG_DR_00080_40009_Support_Type_9, 1, D. Rothwell
/1HFA04SV0012/2, /1HFA04SV0012, 250, 300, 15, /1DVF1201GL-, /1HFA0404ZL-, Cable deck, 04, Support Type 9 - Vertical Duct Wall Support, 45062_MWG_DR_00080_40009_Support_Type_9, 1, D. Rothwell
/1HFA04SV0011/1, /1HFA04SV0011, 250, 300, 15, /1DVF1201GL-, /1HFA0404ZL-, Cable deck, 04, Support Type 9 - Vertical Duct Wall Support, 45062_MWG_DR_00080_40009_Support_Type_9, 1, D. Rothwell
/1HFA04SV0011/2, /1HFA04SV0011, 250, 300, 15, /1DVF1201GL-, /1HFA0404ZL-, Cable deck, 04, Support Type 9 - Vertical Duct Wall Support, 45062_MWG_DR_00080_40009_Support_Type_9, 1, D. Rothwell
/1HFA04SV0068/1, /1HFA04SV0068, 250, 300, 15, /1DVF1201GL-, /1HFA0404ZL-, Cable deck, 04, Support Type 9 - Vertical Duct Wall Support, 45062_MWG_DR_00080_40009_Support_Type_9, 1, D. Rothwell
/1HFA04SV0068/2, /1HFA04SV0068, 250, 300, 15, /1DVF1201GL-, /1HFA0404ZL-, Cable deck, 04, Support Type 9 - Vertical Duct Wall Support, 45062_MWG_DR_00080_40009_Support_Type_9, 1, D. Rothwell
/1HFA04SV0043/1, /1HFA04SV0043, 250, 300, 15, /1DVF1202GL-, /1HFA0404ZL-, Cable deck, 04,  Support Type 5 - Wall Support Cantilever, 45062_MWG_DR_00080_40005_Support_Type_5, 2, D. Rothwell
/1HFA04SV0057/1, /1HFA04SV0057, 300, 150, 10, /1DVF1202GL-, /1HFA0404ZL-, Cable deck, 04, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
/1HFA04SV0057/2, /1HFA04SV0057, 300, 150, 10, /1DVF1202GL-, /1HFA0404ZL-, Cable deck, 04, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
/1HFA04SV0058/1, /1HFA04SV0058, 300, 150, 10, /1DVF1202GL-, /1HFA0404ZL-, Cable deck, 04, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
/1HFA04SV0058/2, /1HFA04SV0058, 300, 150, 10, /1DVF1202GL-, /1HFA0404ZL-, Cable deck, 04, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
/1HFA04SV0008/1, /1HFA04SV0008, 150, 300, 10, /1DVF1202GL-, /1HFA0404ZL-, Cable deck, 04, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
