Support Name, Line Number,Support Type, Support Data Sheet, Data Page,Room, Level, Wrap, Fire Rating, AFC, Approved, A, B, C, D, E, F
/1HFA10SV0008, /1DVF1312GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFA1004ZL-, 10, No, No, No, Yes, 350, 200, 1015, 400, 1200, 400
/1HFA10SV0061, /1DVF1312GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFA1004ZL-, 10, No, No, No, Yes, 350, 200, 1015, 400, 1200, 460
/1HFA10SV0003, /1DVF1312GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFA1005ZL-, 10, No, No, No, Yes, 250, 200, 965, 300, 1150, 300
/1HFA10SV0004, /1DVF1312GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFA1005ZL-, 10, No, No, No, Yes, 250, 200, 965, 300, 1150, 300
/1HFA10SV0007, /1DVF1312GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFA1004ZL-, 10, No, No, No, Yes, 350, 200, 1015, 400, 1200, 400
/1HFA10SV0006, /1DVF1312GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFA1004ZL-, 10, No, No, No, Yes, 350, 200, 990, 400, 1175, 400
/1HFA10SV0070, /1DVF1312GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFA1004ZL-, 10, No, No, No, Yes, 350, 200, 1015, 400, 1200, 460
/1HFA10SV0005, /1DVF1312GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFA1005ZL-, 10, No, No, No, Yes, 350, 200, 1015, 400, 1200, 460
/1HFA10SV0002, /1DVF1315GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFA1005ZL-, 10, No, No, No, Yes, 200, 200, 965, 250, 1150, 300
/1HFA10SV0037, /1DVF1320GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFA1004ZL-, 10, No, No, No, Yes, 100, 100, 1155, 150, 1240, 380
/1HFB0ASV0001, /1DVF2101GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFB0A03ZL-, 0A, No, No, Yes, Yes, 300, 250, 865, 350, 1100, 450
/1HFB0ASV0026, /1DVF2101GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFB0A03ZL-, 0A, No, No, Yes, Yes, 300, 200, 885, 350, 1070, 450
/1HFB0ASV0002, /1DVF2101GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFB0A03ZL-, 0A, No, No, Yes, Yes, 300, 200, 890, 350, 1075, 450
/1HFB0ASV0003, /1DVF2104GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFB0A03ZL-, 0A, No, No, Yes, Yes, 200, 150, 938, 250, 1073, 350
/1HFB0ASV0004, /1DVF2104GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFB0A03ZL-, 0A, No, No, Yes, Yes, 200, 150, 938, 250, 1073, 350
/1HFB0ASV0005, /1DVF2104GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFB0A03ZL-, 0A, No, No, Yes, Yes, 200, 200, 888, 250, 1073, 250
/1HFB0ASV0006, /1DVF2104GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFB0A01ZL-, 0A, No, No, No, Yes, 200, 200, 1208, 250, 1393, 424
/1HFB0ASV0024, /1DVF2104GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFB0A01ZL-, 0A, No, No, Yes, Yes, 200, 150, 1143, 250, 1278, 350
/1HFB0ASV0007, /1DVF2104GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFB0A01ZL-, 0A, No, No, No, Yes, 200, 150, 1233, 250, 1368, 424
/1HFB0ASV0025, /1DVF2108GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFB0A01ZL-, 0A, No, No, Yes, Yes, 200, 100, 1262, 250, 1347, 424
/1HFB04SV0007, /1DVF2203GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFB0404ZL-, 04, No, No, No, Yes, 500, 450, 634, 550, 1069, 640
/1HFB04SV0009, /1DVF2203GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFB0404ZL-, 04, No, No, Yes, Yes, 500, 450, 634, 550, 1069, 640
/1HFB04SV0011, /1DVF2203GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFB0404ZL-, 04, No, No, Yes, Yes, 250, 250, 734, 300, 969, 290
/1HFB04SV0012, /1DVF2203GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFB0404ZL-, 04, No, No, Yes, Yes, 250, 250, 734, 300, 969, 290
/1HFB04SV0013, /1DVF2203GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFB0404ZL-, 04, No, No, Yes, Yes, 250, 250, 734, 300, 969, 290
/1HFB04SV0010, /1DVF2203GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFB0404ZL-, 04, No, No, Yes, Yes, 250, 250, 734, 300, 969, 290
/1HFB04SV0008, /1DVF2203GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFB0404ZL-, 04, No, No, Yes, Yes, 250, 250, 734, 300, 969, 290
/1HFB04SV0014, /1DVF2208GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFB0404ZL-, 04, No, No, Yes, Yes, 500, 400, 659, 550, 1044, 650
/1HFB04SV0016, /1DVF2208GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFB0404ZL-, 04, No, No, Yes, Yes, 500, 400, 659, 550, 1044, 650
/1HFB04SV0018, /1DVF2208GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFB0404ZL-, 04, No, No, Yes, Yes, 500, 400, 659, 550, 1044, 650
/1HFB04SV0017, /1DVF2208GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFB0405ZL-, 04, No, No, Yes, Yes, 500, 400, 659, 550, 1044, 640
/1HFB04SV0015, /1DVF2208GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFB0405ZL-, 04, No, No, Yes, Yes, 500, 400, 659, 550, 1044, 650
/1HFB04SV0019, /1DVF2208GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFB0405ZL-, 04, No, No, Yes, Yes, 500, 400, 1009, 550, 1394, 650
/1HFB04SV0021, /1DVF2208GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFB0405ZL-, 04, No, No, Yes, Yes, 500, 400, 1009, 550, 1394, 650
/1HFB04SV0022, /1DVF2208GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFB0403ZL-, 04, No, No, Yes, Yes, 400, 500, 250, 450, 735, 650
/1HFB04SV0024, /1DVF2208GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFB0403ZL-, 04, No, No, Yes, Yes, 400, 500, 250, 450, 735, 650
/1HFB04SV0023, /1DVF2208GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFB0403ZL-, 04, No, No, Yes, Yes, 400, 500, 250, 450, 735, 650
/1HFB10SV0011, /1DVF2313GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFB1004ZL-, 10, No, No, No, Yes, 300, 200, 785, 350, 970, 450
/1HFB10SV0013, /1DVF2313GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFB1004ZL-, 10, No, No, No, Yes, 300, 200, 785, 350, 970, 450
/1HFB10SV0012, /1DVF2313GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFB1004ZL-, 10, No, No, No, Yes, 300, 200, 785, 350, 970, 450
/1HFB10SV0017, /1DVF2313GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFB1005ZL-, 10, No, No, No, Yes, 250, 200, 785, 300, 970, 300
/1HFB10SV0016, /1DVF2313GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFB1005ZL-, 10, No, No, No, Yes, 250, 200, 785, 300, 970, 300
