Ref. No., Name, Type, System, Line Number, System Description, Inlet Bore, Outlet Bore, Pipe Length, Material, Detailed Description, Room, Room Description, Level, Building, File Reference
36826/9628, ileave tube of /1DVF1131TYB0001-, PIPE, 1DVF, /1DVF1131TY-, 1HFA DX Air Conditioning System, 16, 16, 280, Copper,SCH 40 PIPE ASME B36.10,/1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 0A,  1HF Building, NA
36826/9629, NA, BEND, 1DVF, /1DVF1131TY-, 1HFA DX Air Conditioning System, 16, 16, 70, Copper,BEND ISO 4200,/1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 0A,  1HF Building, NA
36826/9629, NA, PIPE, 1DVF, /1DVF1131TY-, 1HFA DX Air Conditioning System, 16, 16, 3825, Copper,SCH 40 PIPE ASME B36.10,/1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 0A,  1HF Building, NA
36826/9630, NA, BEND, 1DVF, /1DVF1131TY-, 1HFA DX Air Conditioning System, 16, 16, 70, Copper,BEND ISO 4200,/1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 0A,  1HF Building, NA
36826/9630, NA, PIPE, 1DVF, /1DVF1131TY-, 1HFA DX Air Conditioning System, 16, 16, 79, Copper,SCH 40 PIPE ASME B36.10,/1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 0A,  1HF Building, NA
36826/9631, NA, BEND, 1DVF, /1DVF1131TY-, 1HFA DX Air Conditioning System, 16, 16, 50, Copper,BEND ISO 4200,/1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 0A,  1HF Building, NA
36826/9631, NA, PIPE, 1DVF, /1DVF1131TY-, 1HFA DX Air Conditioning System, 16, 16, 1513, Copper,SCH 40 PIPE ASME B36.10,/1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 0A,  1HF Building, NA
36826/9632, NA, BEND, 1DVF, /1DVF1131TY-, 1HFA DX Air Conditioning System, 16, 16, 100, Copper,BEND ISO 4200,/1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 0A,  1HF Building, NA
36826/9632, NA, PIPE, 1DVF, /1DVF1131TY-, 1HFA DX Air Conditioning System, 16, 16, 2513, Copper,SCH 40 PIPE ASME B36.10,/1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 0A,  1HF Building, NA
36826/9633, NA, BEND, 1DVF, /1DVF1131TY-, 1HFA DX Air Conditioning System, 16, 16, 70, Copper,BEND ISO 4200,/1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 0A,  1HF Building, NA
36826/9633, NA, PIPE, 1DVF, /1DVF1131TY-, 1HFA DX Air Conditioning System, 16, 16, 1538, Copper,SCH 40 PIPE ASME B36.10,/1HFA0A03ZL- /1HFA0A04ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 0A,  1HF Building, NA
36826/9635, NA, BEND, 1DVF, /1DVF1131TY-, 1HFA DX Air Conditioning System, 16, 16, 70, Copper,BEND ISO 4200,/1HFA0A04ZL-, Mechanical Gallery 9HGM, 0A,  1HF Building, NA
36826/9635, NA, PIPE, 1DVF, /1DVF1131TY-, 1HFA DX Air Conditioning System, 16, 16, 59, Copper,SCH 40 PIPE ASME B36.10,/1HFA0A04ZL-, Mechanical Gallery 9HGM, 0A,  1HF Building, NA
36826/9636, NA, BEND, 1DVF, /1DVF1131TY-, 1HFA DX Air Conditioning System, 16, 16, 70, Copper,BEND ISO 4200,/1HFA0A04ZL-, Mechanical Gallery 9HGM, 0A,  1HF Building, NA
36826/9636, NA, PIPE, 1DVF, /1DVF1131TY-, 1HFA DX Air Conditioning System, 16, 16, 72, Copper,SCH 40 PIPE ASME B36.10,/1HFA0A04ZL-, Mechanical Gallery 9HGM, 0A,  1HF Building, NA
36826/9637, NA, BEND, 1DVF, /1DVF1131TY-, 1HFA DX Air Conditioning System, 16, 16, 70, Copper,BEND ISO 4200,/1HFA0A04ZL-, Mechanical Gallery 9HGM, 0A,  1HF Building, NA
36826/9637, NA, PIPE, 1DVF, /1DVF1131TY-, 1HFA DX Air Conditioning System, 16, 16, 2748, Copper,SCH 40 PIPE ASME B36.10,/1HFA0A04ZL- /1HFA0404ZL-, Mechanical Gallery 9HGM, 0A,  1HF Building, NA
36826/9639, NA, BEND, 1DVF, /1DVF1131TY-, 1HFA DX Air Conditioning System, 16, 16, 70, Copper,BEND ISO 4200,/1HFA0404ZL-, Cable deck, 04,  1HF Building, NA
36826/9639, NA, PIPE, 1DVF, /1DVF1131TY-, 1HFA DX Air Conditioning System, 16, 16, 1620, Copper,SCH 40 PIPE ASME B36.10,/1HFA0404ZL-, Cable deck, 04,  1HF Building, NA
36826/9640, NA, BEND, 1DVF, /1DVF1131TY-, 1HFA DX Air Conditioning System, 16, 16, 70, Copper,BEND ISO 4200,/1HFA0404ZL-, Cable deck, 04,  1HF Building, NA
36826/9640, NA, PIPE, 1DVF, /1DVF1131TY-, 1HFA DX Air Conditioning System, 16, 16, 2739, Copper,SCH 40 PIPE ASME B36.10,/1HFA0404ZL-, Cable deck, 04,  1HF Building, NA
36826/9641, NA, BEND, 1DVF, /1DVF1131TY-, 1HFA DX Air Conditioning System, 16, 16, 70, Copper,BEND ISO 4200,/1HFA0404ZL-, Cable deck, 04,  1HF Building, NA
36826/9641, NA, PIPE, 1DVF, /1DVF1131TY-, 1HFA DX Air Conditioning System, 16, 16, 351, Copper,SCH 40 PIPE ASME B36.10,/1HFA0404ZL- /1HFA0405ZL-, Cable deck, 04,  1HF Building, NA
36826/9642, NA, BEND, 1DVF, /1DVF1131TY-, 1HFA DX Air Conditioning System, 16, 16, 70, Copper,BEND ISO 4200,/1HFA0405ZL-, Cable deck  Battery Room Roof, 04,  1HF Building, NA
36826/9642, NA, PIPE, 1DVF, /1DVF1131TY-, 1HFA DX Air Conditioning System, 16, 16, 3083, Copper,SCH 40 PIPE ASME B36.10,/1HFA0405ZL- /1HFA1004ZL-, Cable deck  Battery Room Roof, 04,  1HF Building, NA
36826/9644, NA, BEND, 1DVF, /1DVF1131TY-, 1HFA DX Air Conditioning System, 16, 16, 70, Copper,BEND ISO 4200,/1HFA1004ZL-, HV/LV Switchgear Room, 10,  1HF Building, NA
36826/9644, NA, PIPE, 1DVF, /1DVF1131TY-, 1HFA DX Air Conditioning System, 16, 16, 156, Copper,SCH 40 PIPE ASME B36.10,/1HFA1004ZL-, HV/LV Switchgear Room, 10,  1HF Building, NA
36826/9645, NA, BEND, 1DVF, /1DVF1131TY-, 1HFA DX Air Conditioning System, 16, 16, 70, Copper,BEND ISO 4200,/1HFA1004ZL-, HV/LV Switchgear Room, 10,  1HF Building, NA
36826/9645, NA, PIPE, 1DVF, /1DVF1131TY-, 1HFA DX Air Conditioning System, 16, 16, 2479, Copper,SCH 40 PIPE ASME B36.10,/1HFA1004ZL-, HV/LV Switchgear Room, 10,  1HF Building, NA
36826/9663, NA, BEND, 1DVF, /1DVF1131TY-, 1HFA DX Air Conditioning System, 16, 16, 70, Copper,BEND ISO 4200,/1HFA1004ZL-, HV/LV Switchgear Room, 10,  1HF Building, NA
36826/9663, NA, PIPE, 1DVF, /1DVF1131TY-, 1HFA DX Air Conditioning System, 16, 16, 1160, Copper,SCH 40 PIPE ASME B36.10,/1HFA1004ZL-, HV/LV Switchgear Room, 10,  1HF Building, NA
36826/9664, NA, BEND, 1DVF, /1DVF1131TY-, 1HFA DX Air Conditioning System, 16, 16, 70, Copper,BEND ISO 4200,/1HFA1004ZL-, HV/LV Switchgear Room, 10,  1HF Building, NA
36826/9664, NA, PIPE, 1DVF, /1DVF1131TY-, 1HFA DX Air Conditioning System, 16, 16, 2370, Copper,SCH 40 PIPE ASME B36.10,/1HFA1004ZL-, HV/LV Switchgear Room, 10,  1HF Building, NA
36826/9646, NA, BEND, 1DVF, /1DVF1131TY-, 1HFA DX Air Conditioning System, 16, 16, 70, Copper,BEND ISO 4200,/1HFA1004ZL-, HV/LV Switchgear Room, 10,  1HF Building, NA
36826/9646, NA, PIPE, 1DVF, /1DVF1131TY-, 1HFA DX Air Conditioning System, 16, 16, 3530, Copper,SCH 40 PIPE ASME B36.10,/1HFA1004ZL- /1HFA1404ZL-, HV/LV Switchgear Room, 10,  1HF Building, NA
36826/9648, NA, BEND, 1DVF, /1DVF1131TY-, 1HFA DX Air Conditioning System, 16, 16, 70, Copper,BEND ISO 4200,/1HFA1404ZL-, Cable deck, 14,  1HF Building, NA
36826/9648, NA, PIPE, 1DVF, /1DVF1131TY-, 1HFA DX Air Conditioning System, 16, 16, 1050, Copper,SCH 40 PIPE ASME B36.10,/1HFA1404ZL-, Cable deck, 14,  1HF Building, NA
36826/9649, NA, BEND, 1DVF, /1DVF1131TY-, 1HFA DX Air Conditioning System, 16, 16, 70, Copper,BEND ISO 4200,/1HFA1404ZL-, Cable deck, 14,  1HF Building, NA
36826/9649, NA, PIPE, 1DVF, /1DVF1131TY-, 1HFA DX Air Conditioning System, 16, 16, 6807, Copper,SCH 40 PIPE ASME B36.10,/1HFA1404ZL- /1HFA2301ZL- /1HFA1904ZL-, Cable deck, 14,  1HF Building, NA
36826/9654, NA, BEND, 1DVF, /1DVF1131TY-, 1HFA DX Air Conditioning System, 16, 16, 70, Copper,BEND ISO 4200,/1HFA2301ZL-, Roof Top, 23,  1HF Building, NA
36826/9654, NA, PIPE, 1DVF, /1DVF1131TY-, 1HFA DX Air Conditioning System, 16, 16, 1237, Copper,SCH 40 PIPE ASME B36.10,/1HFA2301ZL-, Roof Top, 23,  1HF Building, NA
36826/9656, NA, BEND, 1DVF, /1DVF1131TY-, 1HFA DX Air Conditioning System, 16, 16, 70, Copper,BEND ISO 4200,/1HFA2301ZL-, Roof Top, 23,  1HF Building, NA
36826/9656, NA, PIPE, 1DVF, /1DVF1131TY-, 1HFA DX Air Conditioning System, 16, 16, 2649, Copper,SCH 40 PIPE ASME B36.10,/1HFA2301ZL-, Roof Top, 23,  1HF Building, NA
36826/9658, NA, BEND, 1DVF, /1DVF1131TY-, 1HFA DX Air Conditioning System, 16, 16, 70, Copper,BEND ISO 4200,/1HFA2301ZL-, Roof Top, 23,  1HF Building, NA
36826/9658, NA, PIPE, 1DVF, /1DVF1131TY-, 1HFA DX Air Conditioning System, 16, 16, 3248, Copper,SCH 40 PIPE ASME B36.10,/1HFA2301ZL-, Roof Top, 23,  1HF Building, NA
36826/9659, NA, BEND, 1DVF, /1DVF1131TY-, 1HFA DX Air Conditioning System, 16, 16, 70, Copper,BEND ISO 4200,/1HFA2301ZL-, Roof Top, 23,  1HF Building, NA
36826/9659, NA, PIPE, 1DVF, /1DVF1131TY-, 1HFA DX Air Conditioning System, 16, 16, 140, Copper,SCH 40 PIPE ASME B36.10,/1HFA2301ZL-, Roof Top, 23,  1HF Building, NA
36826/9660, NA, BEND, 1DVF, /1DVF1131TY-, 1HFA DX Air Conditioning System, 16, 16, 70, Copper,BEND ISO 4200,/1HFA2301ZL-, Roof Top, 23,  1HF Building, NA
36826/9660, NA, PIPE, 1DVF, /1DVF1131TY-, 1HFA DX Air Conditioning System, 16, 16, 357, Copper,SCH 40 PIPE ASME B36.10,/1HFA2301ZL-, Roof Top, 23,  1HF Building, NA
36826/9662, NA, BEND, 1DVF, /1DVF1131TY-, 1HFA DX Air Conditioning System, 16, 16, 70, Copper,BEND ISO 4200,/1HFA2301ZL-, Roof Top, 23,  1HF Building, NA
36826/9662, NA, PIPE, 1DVF, /1DVF1131TY-, 1HFA DX Air Conditioning System, 16, 16, 274, Copper,SCH 40 PIPE ASME B36.10,/1HFA2301ZL-, Roof Top, 23,  1HF Building, NA
36826/9594, ileave tube of /1DVF1132TYB0001-, PIPE, 1DVF, /1DVF1132TY-, 1HFA DX Air Conditioning System, 16, 16, 130, Copper,SCH 40 PIPE ASME B36.10,/1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 0A,  1HF Building, NA
20442/72488, NA, BEND, 1DVF, /1DVF1132TY-, 1HFA DX Air Conditioning System, 16, 16, 70, Copper,BEND ISO 4200,/1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 0A,  1HF Building, NA
20442/72488, NA, PIPE, 1DVF, /1DVF1132TY-, 1HFA DX Air Conditioning System, 16, 16, 51, Copper,SCH 40 PIPE ASME B36.10,/1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 0A,  1HF Building, NA
36826/9595, NA, BEND, 1DVF, /1DVF1132TY-, 1HFA DX Air Conditioning System, 16, 16, 70, Copper,BEND ISO 4200,/1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 0A,  1HF Building, NA
36826/9595, NA, PIPE, 1DVF, /1DVF1132TY-, 1HFA DX Air Conditioning System, 16, 16, 3700, Copper,SCH 40 PIPE ASME B36.10,/1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 0A,  1HF Building, NA
36826/9596, NA, BEND, 1DVF, /1DVF1132TY-, 1HFA DX Air Conditioning System, 16, 16, 70, Copper,BEND ISO 4200,/1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 0A,  1HF Building, NA
36826/9596, NA, PIPE, 1DVF, /1DVF1132TY-, 1HFA DX Air Conditioning System, 16, 16, 51, Copper,SCH 40 PIPE ASME B36.10,/1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 0A,  1HF Building, NA
36826/9597, NA, BEND, 1DVF, /1DVF1132TY-, 1HFA DX Air Conditioning System, 16, 16, 50, Copper,BEND ISO 4200,/1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 0A,  1HF Building, NA
36826/9597, NA, PIPE, 1DVF, /1DVF1132TY-, 1HFA DX Air Conditioning System, 16, 16, 1846, Copper,SCH 40 PIPE ASME B36.10,/1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 0A,  1HF Building, NA
36826/9598, NA, BEND, 1DVF, /1DVF1132TY-, 1HFA DX Air Conditioning System, 16, 16, 100, Copper,BEND ISO 4200,/1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 0A,  1HF Building, NA
36826/9598, NA, PIPE, 1DVF, /1DVF1132TY-, 1HFA DX Air Conditioning System, 16, 16, 4532, Copper,SCH 40 PIPE ASME B36.10,/1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 0A,  1HF Building, NA
36826/9599, NA, BEND, 1DVF, /1DVF1132TY-, 1HFA DX Air Conditioning System, 16, 16, 150, Copper,BEND ISO 4200,/1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 0A,  1HF Building, NA
36826/9599, NA, PIPE, 1DVF, /1DVF1132TY-, 1HFA DX Air Conditioning System, 16, 16, 31, Copper,SCH 40 PIPE ASME B36.10,/1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 0A,  1HF Building, NA
28634/28671, NA, BEND, 1DVF, /1DVF1132TY-, 1HFA DX Air Conditioning System, 16, 16, 70, Copper,BEND ISO 4200,/1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 0A,  1HF Building, NA
28634/28671, NA, PIPE, 1DVF, /1DVF1132TY-, 1HFA DX Air Conditioning System, 16, 16, 1810, Copper,SCH 40 PIPE ASME B36.10,/1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 0A,  1HF Building, NA
20442/71848, NA, BEND, 1DVF, /1DVF1132TY-, 1HFA DX Air Conditioning System, 16, 16, 70, Copper,BEND ISO 4200,/1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 0A,  1HF Building, NA
20442/71848, NA, PIPE, 1DVF, /1DVF1132TY-, 1HFA DX Air Conditioning System, 16, 16, 62, Copper,SCH 40 PIPE ASME B36.10,/1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 0A,  1HF Building, NA
20442/71849, NA, BEND, 1DVF, /1DVF1132TY-, 1HFA DX Air Conditioning System, 16, 16, 70, Copper,BEND ISO 4200,/1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 0A,  1HF Building, NA
20442/71849, NA, PIPE, 1DVF, /1DVF1132TY-, 1HFA DX Air Conditioning System, 16, 16, 3405, Copper,SCH 40 PIPE ASME B36.10,/1HFA0A03ZL- /1HFA0A04ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 0A,  1HF Building, NA
36826/9601, NA, BEND, 1DVF, /1DVF1132TY-, 1HFA DX Air Conditioning System, 16, 16, 70, Copper,BEND ISO 4200,/1HFA0A04ZL-, Mechanical Gallery 9HGM, 0A,  1HF Building, NA
36826/9601, NA, PIPE, 1DVF, /1DVF1132TY-, 1HFA DX Air Conditioning System, 16, 16, 82, Copper,SCH 40 PIPE ASME B36.10,/1HFA0A04ZL-, Mechanical Gallery 9HGM, 0A,  1HF Building, NA
36826/9603, NA, BEND, 1DVF, /1DVF1132TY-, 1HFA DX Air Conditioning System, 16, 16, 70, Copper,BEND ISO 4200,/1HFA0A04ZL-, Mechanical Gallery 9HGM, 0A,  1HF Building, NA
36826/9603, NA, PIPE, 1DVF, /1DVF1132TY-, 1HFA DX Air Conditioning System, 16, 16, 3157, Copper,SCH 40 PIPE ASME B36.10,/1HFA0A04ZL- /1HFA0404ZL-, Mechanical Gallery 9HGM, 0A,  1HF Building, NA
36826/9604, NA, BEND, 1DVF, /1DVF1132TY-, 1HFA DX Air Conditioning System, 16, 16, 70, Copper,BEND ISO 4200,/1HFA0404ZL-, Cable deck, 04,  1HF Building, NA
36826/9604, NA, PIPE, 1DVF, /1DVF1132TY-, 1HFA DX Air Conditioning System, 16, 16, 1620, Copper,SCH 40 PIPE ASME B36.10,/1HFA0404ZL-, Cable deck, 04,  1HF Building, NA
36826/9605, NA, BEND, 1DVF, /1DVF1132TY-, 1HFA DX Air Conditioning System, 16, 16, 70, Copper,BEND ISO 4200,/1HFA0404ZL-, Cable deck, 04,  1HF Building, NA
36826/9605, NA, PIPE, 1DVF, /1DVF1132TY-, 1HFA DX Air Conditioning System, 16, 16, 2589, Copper,SCH 40 PIPE ASME B36.10,/1HFA0404ZL-, Cable deck, 04,  1HF Building, NA
36826/9606, NA, BEND, 1DVF, /1DVF1132TY-, 1HFA DX Air Conditioning System, 16, 16, 70, Copper,BEND ISO 4200,/1HFA0404ZL-, Cable deck, 04,  1HF Building, NA
36826/9606, NA, PIPE, 1DVF, /1DVF1132TY-, 1HFA DX Air Conditioning System, 16, 16, 351, Copper,SCH 40 PIPE ASME B36.10,/1HFA0404ZL- /1HFA0405ZL-, Cable deck, 04,  1HF Building, NA
36826/9607, NA, BEND, 1DVF, /1DVF1132TY-, 1HFA DX Air Conditioning System, 16, 16, 70, Copper,BEND ISO 4200,/1HFA0405ZL-, Cable deck  Battery Room Roof, 04,  1HF Building, NA
36826/9607, NA, PIPE, 1DVF, /1DVF1132TY-, 1HFA DX Air Conditioning System, 16, 16, 3173, Copper,SCH 40 PIPE ASME B36.10,/1HFA0405ZL- /1HFA1004ZL-, Cable deck  Battery Room Roof, 04,  1HF Building, NA
36826/9609, NA, BEND, 1DVF, /1DVF1132TY-, 1HFA DX Air Conditioning System, 16, 16, 70, Copper,BEND ISO 4200,/1HFA1004ZL-, HV/LV Switchgear Room, 10,  1HF Building, NA
36826/9609, NA, PIPE, 1DVF, /1DVF1132TY-, 1HFA DX Air Conditioning System, 16, 16, 70, Copper,SCH 40 PIPE ASME B36.10,/1HFA1004ZL-, HV/LV Switchgear Room, 10,  1HF Building, NA
36826/9610, NA, ELBO, 1DVF, /1DVF1132TY-, 1HFA DX Air Conditioning System, 16, 16, 44, Copper,90 LONG RADIUS ELBOW_SCH 40_ASME B16.9,/1HFA1004ZL-, HV/LV Switchgear Room, 10,  1HF Building, NA
36826/9610, NA, PIPE, 1DVF, /1DVF1132TY-, 1HFA DX Air Conditioning System, 16, 16, 2641, Copper,SCH 40 PIPE ASME B36.10,/1HFA1004ZL-, HV/LV Switchgear Room, 10,  1HF Building, NA
36826/9665, NA, BEND, 1DVF, /1DVF1132TY-, 1HFA DX Air Conditioning System, 16, 16, 70, Copper,BEND ISO 4200,/1HFA1004ZL-, HV/LV Switchgear Room, 10,  1HF Building, NA
36826/9665, NA, PIPE, 1DVF, /1DVF1132TY-, 1HFA DX Air Conditioning System, 16, 16, 1160, Copper,SCH 40 PIPE ASME B36.10,/1HFA1004ZL-, HV/LV Switchgear Room, 10,  1HF Building, NA
36826/9666, NA, BEND, 1DVF, /1DVF1132TY-, 1HFA DX Air Conditioning System, 16, 16, 70, Copper,BEND ISO 4200,/1HFA1004ZL-, HV/LV Switchgear Room, 10,  1HF Building, NA
36826/9666, NA, PIPE, 1DVF, /1DVF1132TY-, 1HFA DX Air Conditioning System, 16, 16, 2370, Copper,SCH 40 PIPE ASME B36.10,/1HFA1004ZL-, HV/LV Switchgear Room, 10,  1HF Building, NA
36826/9611, NA, BEND, 1DVF, /1DVF1132TY-, 1HFA DX Air Conditioning System, 16, 16, 70, Copper,BEND ISO 4200,/1HFA1004ZL-, HV/LV Switchgear Room, 10,  1HF Building, NA
36826/9611, NA, PIPE, 1DVF, /1DVF1132TY-, 1HFA DX Air Conditioning System, 16, 16, 3620, Copper,SCH 40 PIPE ASME B36.10,/1HFA1004ZL- /1HFA1404ZL-, HV/LV Switchgear Room, 10,  1HF Building, NA
36826/9613, NA, BEND, 1DVF, /1DVF1132TY-, 1HFA DX Air Conditioning System, 16, 16, 70, Copper,BEND ISO 4200,/1HFA1404ZL-, Cable deck, 14,  1HF Building, NA
36826/9613, NA, PIPE, 1DVF, /1DVF1132TY-, 1HFA DX Air Conditioning System, 16, 16, 1050, Copper,SCH 40 PIPE ASME B36.10,/1HFA1404ZL-, Cable deck, 14,  1HF Building, NA
36826/9614, NA, BEND, 1DVF, /1DVF1132TY-, 1HFA DX Air Conditioning System, 16, 16, 70, Copper,BEND ISO 4200,/1HFA1404ZL-, Cable deck, 14,  1HF Building, NA
36826/9614, NA, PIPE, 1DVF, /1DVF1132TY-, 1HFA DX Air Conditioning System, 16, 16, 6717, Copper,SCH 40 PIPE ASME B36.10,/1HFA1404ZL- /1HFA2301ZL- /1HFA1904ZL-, Cable deck, 14,  1HF Building, NA
36826/9619, NA, BEND, 1DVF, /1DVF1132TY-, 1HFA DX Air Conditioning System, 16, 16, 70, Copper,BEND ISO 4200,/1HFA2301ZL-, Roof Top, 23,  1HF Building, NA
36826/9619, NA, PIPE, 1DVF, /1DVF1132TY-, 1HFA DX Air Conditioning System, 16, 16, 1347, Copper,SCH 40 PIPE ASME B36.10,/1HFA2301ZL-, Roof Top, 23,  1HF Building, NA
36826/9621, NA, BEND, 1DVF, /1DVF1132TY-, 1HFA DX Air Conditioning System, 16, 16, 70, Copper,BEND ISO 4200,/1HFA2301ZL-, Roof Top, 23,  1HF Building, NA
36826/9621, NA, PIPE, 1DVF, /1DVF1132TY-, 1HFA DX Air Conditioning System, 16, 16, 2629, Copper,SCH 40 PIPE ASME B36.10,/1HFA2301ZL-, Roof Top, 23,  1HF Building, NA
36826/9623, NA, BEND, 1DVF, /1DVF1132TY-, 1HFA DX Air Conditioning System, 16, 16, 70, Copper,BEND ISO 4200,/1HFA2301ZL-, Roof Top, 23,  1HF Building, NA
36826/9623, NA, PIPE, 1DVF, /1DVF1132TY-, 1HFA DX Air Conditioning System, 16, 16, 4668, Copper,SCH 40 PIPE ASME B36.10,/1HFA2301ZL-, Roof Top, 23,  1HF Building, NA
36826/9624, NA, BEND, 1DVF, /1DVF1132TY-, 1HFA DX Air Conditioning System, 16, 16, 70, Copper,BEND ISO 4200,/1HFA2301ZL-, Roof Top, 23,  1HF Building, NA
36826/9624, NA, PIPE, 1DVF, /1DVF1132TY-, 1HFA DX Air Conditioning System, 16, 16, 140, Copper,SCH 40 PIPE ASME B36.10,/1HFA2301ZL-, Roof Top, 23,  1HF Building, NA
36826/9625, NA, BEND, 1DVF, /1DVF1132TY-, 1HFA DX Air Conditioning System, 16, 16, 70, Copper,BEND ISO 4200,/1HFA2301ZL-, Roof Top, 23,  1HF Building, NA
36826/9625, NA, PIPE, 1DVF, /1DVF1132TY-, 1HFA DX Air Conditioning System, 16, 16, 245, Copper,SCH 40 PIPE ASME B36.10,/1HFA2301ZL-, Roof Top, 23,  1HF Building, NA
36826/9626, NA, BEND, 1DVF, /1DVF1132TY-, 1HFA DX Air Conditioning System, 16, 16, 70, Copper,BEND ISO 4200,/1HFA2301ZL-, Roof Top, 23,  1HF Building, NA
36826/9626, NA, PIPE, 1DVF, /1DVF1132TY-, 1HFA DX Air Conditioning System, 16, 16, 178, Copper,SCH 40 PIPE ASME B36.10,/1HFA2301ZL-, Roof Top, 23,  1HF Building, NA
36826/9627, NA, BEND, 1DVF, /1DVF1132TY-, 1HFA DX Air Conditioning System, 16, 16, 70, Copper,BEND ISO 4200,/1HFA2301ZL-, Roof Top, 23,  1HF Building, NA
36826/9627, NA, PIPE, 1DVF, /1DVF1132TY-, 1HFA DX Air Conditioning System, 16, 16, 274, Copper,SCH 40 PIPE ASME B36.10,/1HFA2301ZL-, Roof Top, 23,  1HF Building, NA
36826/9506, ileave tube of /1DVF1141TYB0001, PIPE, 1DVF, /1DVF1141TY-, 1HFA DX Air Conditioning System, 22, 22, 168, Copper,SCH 40 PIPE ASME B36.10,/1HFA2301ZL-, Roof Top, 23,  1HF Building, NA
36826/9507, NA, BEND, 1DVF, /1DVF1141TY-, 1HFA DX Air Conditioning System, 22, 22, 70, Copper,BEND ISO 4200,/1HFA2301ZL-, Roof Top, 23,  1HF Building, NA
36826/9507, NA, PIPE, 1DVF, /1DVF1141TY-, 1HFA DX Air Conditioning System, 22, 22, 77, Copper,SCH 40 PIPE ASME B36.10,/1HFA2301ZL-, Roof Top, 23,  1HF Building, NA
36826/9508, NA, BEND, 1DVF, /1DVF1141TY-, 1HFA DX Air Conditioning System, 22, 22, 70, Copper,BEND ISO 4200,/1HFA2301ZL-, Roof Top, 23,  1HF Building, NA
36826/9508, NA, PIPE, 1DVF, /1DVF1141TY-, 1HFA DX Air Conditioning System, 22, 22, 446, Copper,SCH 40 PIPE ASME B36.10,/1HFA2301ZL-, Roof Top, 23,  1HF Building, NA
36826/9509, NA, BEND, 1DVF, /1DVF1141TY-, 1HFA DX Air Conditioning System, 22, 22, 70, Copper,BEND ISO 4200,/1HFA2301ZL-, Roof Top, 23,  1HF Building, NA
36826/9509, NA, PIPE, 1DVF, /1DVF1141TY-, 1HFA DX Air Conditioning System, 22, 22, 100, Copper,SCH 40 PIPE ASME B36.10,/1HFA2301ZL-, Roof Top, 23,  1HF Building, NA
36826/9510, NA, BEND, 1DVF, /1DVF1141TY-, 1HFA DX Air Conditioning System, 22, 22, 70, Copper,BEND ISO 4200,/1HFA2301ZL-, Roof Top, 23,  1HF Building, NA
36826/9510, NA, PIPE, 1DVF, /1DVF1141TY-, 1HFA DX Air Conditioning System, 22, 22, 3152, Copper,SCH 40 PIPE ASME B36.10,/1HFA2301ZL-, Roof Top, 23,  1HF Building, NA
36826/9511, NA, BEND, 1DVF, /1DVF1141TY-, 1HFA DX Air Conditioning System, 22, 22, 70, Copper,BEND ISO 4200,/1HFA2301ZL-, Roof Top, 23,  1HF Building, NA
36826/9511, NA, PIPE, 1DVF, /1DVF1141TY-, 1HFA DX Air Conditioning System, 22, 22, 2689, Copper,SCH 40 PIPE ASME B36.10,/1HFA2301ZL-, Roof Top, 23,  1HF Building, NA
36826/9512, NA, BEND, 1DVF, /1DVF1141TY-, 1HFA DX Air Conditioning System, 22, 22, 70, Copper,BEND ISO 4200,/1HFA2301ZL-, Roof Top, 23,  1HF Building, NA
