Ref. No., Name, Type, Part No., Line Number, Detailed Desc., Inlet L., Inlet W., Outlet L., Outlet W., Length, Insulation, Level, Room, Room Description, Building, Penetration Reference, Material, Fire Rating, Approved for Cons/Fab
20442/64801,NA, GASK, 15, /1DVF2509GL-, Rectangular Gasket, 800, 900, 800, 900, 3, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, NA, No, No
28634/24785,NA, GASK, 1, /1DVF2510GL-, Rectangular Gasket, 500, 300, 500, 300, 3, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, NA, No, No
20442/30209,NA, BEND, 2, /1DVF2510GL-, Rectangular 90 degree Radiused Bend, 500, 300, 500, 300, 537, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, Galvanised Steel Z600, No, No
28634/24786,NA, GASK, 3, /1DVF2510GL-, Rectangular Gasket, 500, 300, 500, 300, 3, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, NA, No, No
20442/30397,NA, STRT, 4, /1DVF2510GL-, Rectangular Straight, 500, 300, 500, 300, 669, 90, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, Galvanised Steel Z600, No, No
28634/24789,NA, GASK, 5, /1DVF2510GL-, Rectangular Gasket, 500, 300, 500, 300, 3, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, NA, No, No
20442/19431,/1DVF2511RA-, DAMP, 6, /1DVF2510GL-, Fire Damper, 500, 300, 500, 300, 300, 90, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, Stainless Steel 304L, No, No
28634/24790,NA, GASK, 7, /1DVF2510GL-, Rectangular Gasket, 300, 500, 300, 500, 3, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, NA, No, No
20442/4383,NA, BEND, 8, /1DVF2510GL-, Rectangular 90degree degree Radiused Bend, 500, 300, 500, 300, 775, 90, 19, /1HFB1901ZL- /1HFB1904ZL-, Firefighting Lobby, 1HF Building, /1HFB1907VBTV001, Stainless Steel 304L, No, No
20442/4383,NA, SKIR, 8, /1DVF2510GL-, Penetration Spool Plate, 300, 500, 900, 950, 6, 0, 19, /1HFB1901ZL-, Firefighting Lobby, 1HF Building, /1HFB1907VBTV001, Stainless Steel 304L, No, No
28634/24791,NA, GASK, 9, /1DVF2510GL-, Rectangular Gasket, 500, 300, 500, 300, 3, 0, 19, /1HFB1901ZL-, Firefighting Lobby, 1HF Building, NA, NA, No, No
20442/4381,/1DVF2512RA-, DAMP, 10, /1DVF2510GL-, Volume Control Dampers, 500, 300, 500, 300, 200, 0, 19, /1HFB1901ZL-, Firefighting Lobby, 1HF Building, NA, Galvanised Steel, No, No
28634/24792,NA, GASK, 11, /1DVF2510GL-, Rectangular Gasket, 500, 300, 500, 300, 3, 0, 19, /1HFB1901ZL-, Firefighting Lobby, 1HF Building, NA, NA, No, No
20442/18876,NA, STRT, 12, /1DVF2510GL-, Rectangular Straight, 500, 300, 500, 300, 351, 0, 19, /1HFB1901ZL-, Firefighting Lobby, 1HF Building, NA, Galvanised Steel Z600, No, No
28634/24793,NA, GASK, 13, /1DVF2510GL-, Rectangular Gasket, 500, 300, 500, 300, 3, 0, 19, /1HFB1901ZL-, Firefighting Lobby, 1HF Building, NA, NA, No, No
28634/11285,NA, BEND, 14, /1DVF2510GL-, Rectangular 90 degree Radiused Bend, 300, 500, 300, 500, 300, 0, 19, /1HFB1901ZL-, Firefighting Lobby, 1HF Building, NA, Galvanised Steel Z600, No, No
28634/24794,NA, GASK, 15, /1DVF2510GL-, Rectangular Gasket, 300, 500, 300, 500, 3, 0, 19, /1HFB1901ZL-, Firefighting Lobby, 1HF Building, NA, NA, No, No
28634/11286,NA, STRT, 16, /1DVF2510GL-, Rectangular Straight, 300, 500, 300, 500, 504, 90, 19, /1HFB1901ZL-, Firefighting Lobby, 1HF Building, NA, Galvanised Steel Z600, No, No
28634/11286,/1DVF2510GLB0001T001, BRCO, 16, /1DVF2510GL-, Rectangular Boot Branch Connector, 500, 300, 500, 300, 100, 90, 19, /1HFB1901ZL-, Firefighting Lobby, 1HF Building, NA,  Stainless Steel 304L, No, No
28634/24795,NA, GASK, 17, /1DVF2510GL-, Rectangular Gasket, 500, 300, 500, 300, 3, 0, 19, /1HFB1901ZL-, Firefighting Lobby, 1HF Building, NA, NA, No, No
28634/11307,NA, TAPE, 18, /1DVF2510GL-, Rectangular Taper, 500, 300, 300, 300, 287, 90, 19, /1HFB1901ZL-, Firefighting Lobby, 1HF Building, NA, Galvanised Steel Z600, No, No
28634/24796,NA, GASK, 19, /1DVF2510GL-, Rectangular Gasket, 300, 300, 300, 300, 3, 0, 19, /1HFB1901ZL-, Firefighting Lobby, 1HF Building, NA, NA, No, No
28634/11308,NA, STRT, 20, /1DVF2510GL-, Rectangular Straight, 300, 300, 300, 300, 550, 90, 23, /1HFB2301ZL- /1HFB1901ZL-, Firefighting Lobby, 1HF Building, /1HFB2302DBTV002, Stainless Steel 304L, No, No
28634/11308,NA, SKIR, 20, /1DVF2510GL-, Penetration Spool Plate, 300, 300, 800, 750, 6, 0, 23, /1HFB2301ZL-, Firefighting Lobby, 1HF Building, /1HFB2302DBTV002, Stainless Steel 304L, No, No
28634/24914,NA, GASK, 1, /1DVF2516GL-, Rectangular Gasket, 150, 100, 150, 100, 3, 0, 19, /1HFB1905ZL-, Telecom Room, 1HF Building, NA, NA, No, No
20442/68207,NA, STRT, 2, /1DVF2516GL-, Rectangular Straight, 150, 100, 150, 100, 75, 0, 19, /1HFB1905ZL-, Telecom Room, 1HF Building, NA, Galvanised Steel Z600, No, No
20442/68208,NA, GASK, 3, /1DVF2516GL-, Rectangular Gasket, 150, 100, 150, 100, 3, 0, 19, /1HFB1905ZL-, Telecom Room, 1HF Building, NA, NA, No, No
20442/30226,/1DVF2517BW-, MESH, 4, /1DVF2516GL-, Supply Air Grille - Double Deflection , 150, 100, 150, 100, 10, 0, 19, /1HFB1905ZL-, Telecom Room, 1HF Building, NA, Extruded Aluminium, No, No
28634/24822,NA, GASK, 1, /1DVF2519GL-, Rectangular Gasket, 300, 250, 300, 250, 3, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, NA, No, No
20442/18929,NA, BEND, 2, /1DVF2519GL-, Rectangular 90 degree Radiused Bend, 300, 250, 300, 250, 403, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, Galvanised Steel Z600, No, No
28634/24823,NA, GASK, 3, /1DVF2519GL-, Rectangular Gasket, 300, 250, 300, 250, 3, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, NA, No, No
20442/18931,NA, STRT, 4, /1DVF2519GL-, Rectangular Straight, 300, 250, 300, 250, 369, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, Galvanised Steel Z600, No, No
28634/24824,NA, GASK, 5, /1DVF2519GL-, Rectangular Gasket, 300, 250, 300, 250, 3, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, NA, No, No
20442/18930,NA, BEND, 6, /1DVF2519GL-, Rectangular 90 degree Radiused Bend, 300, 250, 300, 250, 350, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, Galvanised Steel Z600, No, No
28634/24825,NA, GASK, 7, /1DVF2519GL-, Rectangular Gasket, 300, 250, 300, 250, 3, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, NA, No, No
20442/23824,NA, STRT, 8, /1DVF2519GL-, Rectangular Straight, 300, 250, 300, 250, 1200, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, Galvanised Steel Z600, No, No
28634/24826,NA, GASK, 9, /1DVF2519GL-, Rectangular Gasket, 300, 250, 300, 250, 3, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, NA, No, No
20442/18933,NA, STRT, 10, /1DVF2519GL-, Rectangular Straight, 300, 250, 300, 250, 1200, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, Galvanised Steel Z600, No, No
28634/24827,NA, GASK, 11, /1DVF2519GL-, Rectangular Gasket, 300, 250, 300, 250, 3, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, NA, No, No
20442/18934,NA, STRT, 12, /1DVF2519GL-, Rectangular Straight, 300, 250, 300, 250, 1200, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, Galvanised Steel Z600, No, No
28634/24828,NA, GASK, 13, /1DVF2519GL-, Rectangular Gasket, 300, 250, 300, 250, 3, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, NA, No, No
20442/18935,NA, STRT, 14, /1DVF2519GL-, Rectangular Straight, 300, 250, 300, 250, 1200, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, Galvanised Steel Z600, No, No
28634/24829,NA, GASK, 15, /1DVF2519GL-, Rectangular Gasket, 300, 250, 300, 250, 3, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, NA, No, No
28634/24842,NA, GASK, 16, /1DVF2519GL-, Rectangular Gasket, 200, 200, 200, 200, 3, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, NA, No, No
20442/4807,/1DVF2523BW-, MESH, 17, /1DVF2519GL-, Supply Air Grille - Double Deflection with Damper, 200, 200, 200, 200, 10, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, Extruded Aluminium, No, No
28634/24845,NA, GASK, 18, /1DVF2519GL-, Rectangular Gasket, 200, 200, 200, 200, 3, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, NA, No, No
20442/4820,/1DVF2524BW-, MESH, 19, /1DVF2519GL-, Supply Air Grille - Double Deflection with Damper, 200, 200, 200, 200, 10, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, Extruded Aluminium, No, No
20442/57513,NA, STRT, 20, /1DVF2519GL-, Rectangular Straight, 300, 200, 300, 200, 713, 0, 19, /1HFB1906ZL-, Instrumentation Room, 1HF Building, NA, Galvanised Steel Z600, No, No
28634/24838,NA, GASK, 21, /1DVF2519GL-, Rectangular Gasket, 300, 200, 300, 200, 3, 0, 19, /1HFB1906ZL-, Instrumentation Room, 1HF Building, NA, NA, No, No
20442/57514,NA, STRT, 22, /1DVF2519GL-, Rectangular Straight, 300, 200, 300, 200, 450, 0, 19, /1HFB1904ZL- /1HFB1906ZL-, I&C Relay Room, 1HF Building, /1HFB1925VBTV001, Stainless Steel 304L, No, No
20442/57514,NA, SKIR, 22, /1DVF2519GL-, Penetration Spool Plate, 300, 200, 850, 625, 6, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, /1HFB1925VBTV001, Stainless Steel 304L, No, No
28634/24839,NA, GASK, 23, /1DVF2519GL-, Rectangular Gasket, 300, 200, 300, 200, 3, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, NA, No, No
20442/57518,/1DVF2519RA-, DAMP, 24, /1DVF2519GL-, Volume Control Dampers, 300, 200, 300, 200, 200, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, Galvanised Steel, No, No
20442/68307,NA, GASK, 25, /1DVF2519GL-, Rectangular Gasket, 300, 200, 300, 200, 3, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, NA, No, No
20442/57519,NA, STRT, 26, /1DVF2519GL-, Rectangular Straight, 300, 200, 300, 200, 366, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, Galvanised Steel Z600, No, No
28634/24840,NA, GASK, 27, /1DVF2519GL-, Rectangular Gasket, 300, 200, 300, 200, 3, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, NA, No, No
20442/57520,NA, STRT, 28, /1DVF2519GL-, Rectangular Straight, 300, 200, 300, 200, 1200, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, Galvanised Steel Z600, No, No
28634/24841,NA, GASK, 29, /1DVF2519GL-, Rectangular Gasket, 200, 300, 200, 300, 3, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, NA, No, No
20442/57522,NA, STRT, 30, /1DVF2519GL-, Rectangular Straight, 200, 300, 200, 300, 1200, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, Galvanised Steel Z600, No, No
20442/57522,/1DVF2519GLB0001T003, BRCO, 30, /1DVF2519GL-, Rectangular Boot Branch Connector, 300, 200, 300, 200, 75, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA,  Stainless Steel 304L, No, No
28634/24843,NA, GASK, 31, /1DVF2519GL-, Rectangular Gasket, 200, 300, 200, 300, 3, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, NA, No, No
20442/57526,NA, STRT, 32, /1DVF2519GL-, Rectangular Straight, 200, 300, 200, 300, 1200, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, Galvanised Steel Z600, No, No
28634/24844,NA, GASK, 33, /1DVF2519GL-, Rectangular Gasket, 200, 300, 200, 300, 3, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, NA, No, No
20442/57527,NA, STRT, 34, /1DVF2519GL-, Rectangular Straight, 200, 300, 200, 300, 1200, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, Galvanised Steel Z600, No, No
20442/57527,/1DVF2519GLB0001T004, BRCO, 34, /1DVF2519GL-, Rectangular Boot Branch Connector, 300, 200, 300, 200, 75, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA,  Stainless Steel 304L, No, No
20442/57571,NA, STRT, 35, /1DVF2519GL-, Rectangular Straight, 300, 250, 300, 250, 1200, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, Galvanised Steel Z600, No, No
28634/24830,NA, GASK, 36, /1DVF2519GL-, Rectangular Gasket, 300, 250, 300, 250, 4, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, NA, No, No
20442/57574,NA, STRT, 37, /1DVF2519GL-, Rectangular Straight, 300, 250, 300, 250, 850, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, Galvanised Steel Z600, No, No
20442/57574,/1DVF2519GLB0001T001, BRCO, 37, /1DVF2519GL-, Rectangular Boot Branch Connector, 300, 250, 300, 250, 75, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA,  Stainless Steel 304L, No, No
28634/24831,NA, GASK, 38, /1DVF2519GL-, Rectangular Gasket, 300, 250, 300, 250, 3, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, NA, No, No
20442/57576,NA, STRT, 39, /1DVF2519GL-, Rectangular Straight, 300, 250, 300, 250, 450, 0, 19, /1HFB1904ZL- /1HFB1906ZL-, I&C Relay Room, 1HF Building, /1HFB1927VBTV001, Stainless Steel 304L, No, No
20442/57576,NA, SKIR, 39, /1DVF2519GL-, Penetration Spool Plate, 250, 300, 800, 850, 6, 0, 19, /1HFB1906ZL-, Instrumentation Room, 1HF Building, /1HFB1927VBTV001, Stainless Steel 304L, No, No
28634/24832,NA, GASK, 40, /1DVF2519GL-, Rectangular Gasket, 250, 300, 250, 300, 3, 0, 19, /1HFB1906ZL-, Instrumentation Room, 1HF Building, NA, NA, No, No
20442/57578,NA, STRT, 41, /1DVF2519GL-, Rectangular Straight, 250, 300, 250, 300, 719, 0, 19, /1HFB1906ZL-, Instrumentation Room, 1HF Building, NA, Galvanised Steel Z600, No, No
28634/24833,NA, GASK, 42, /1DVF2519GL-, Rectangular Gasket, 250, 300, 250, 300, 3, 0, 19, /1HFB1906ZL-, Instrumentation Room, 1HF Building, NA, NA, No, No
20442/57580,NA, TAPE, 43, /1DVF2519GL-, Rectangular Taper, 300, 250, 300, 200, 400, 0, 19, /1HFB1906ZL-, Instrumentation Room, 1HF Building, NA, Galvanised Steel Z600, No, No
28634/24834,NA, GASK, 44, /1DVF2519GL-, Rectangular Gasket, 300, 200, 300, 200, 3, 0, 19, /1HFB1906ZL-, Instrumentation Room, 1HF Building, NA, NA, No, No
20442/57581,NA, STRT, 45, /1DVF2519GL-, Rectangular Straight, 300, 200, 300, 200, 1200, 0, 19, /1HFB1906ZL-, Instrumentation Room, 1HF Building, NA, Galvanised Steel Z600, No, No
20442/57581,/1DVF2519GLB0001T002, BRCO, 45, /1DVF2519GL-, Rectangular Boot Branch Connector, 300, 200, 300, 200, 75, 0, 19, /1HFB1906ZL-, Instrumentation Room, 1HF Building, NA,  Stainless Steel 304L, No, No
28634/24835,NA, GASK, 46, /1DVF2519GL-, Rectangular Gasket, 300, 200, 300, 200, 3, 0, 19, /1HFB1906ZL-, Instrumentation Room, 1HF Building, NA, NA, No, No
20442/57585,NA, STRT, 47, /1DVF2519GL-, Rectangular Straight, 300, 200, 300, 200, 1200, 0, 19, /1HFB1906ZL-, Instrumentation Room, 1HF Building, NA, Galvanised Steel Z600, No, No
28634/24837,NA, GASK, 48, /1DVF2519GL-, Rectangular Gasket, 300, 200, 300, 200, 3, 0, 19, /1HFB1906ZL-, Instrumentation Room, 1HF Building, NA, NA, No, No
28634/24902,NA, GASK, 1, /1DVF2522GL-, Rectangular Gasket, 200, 200, 200, 200, 3, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, NA, No, No
20442/7892,NA, STRT, 2, /1DVF2522GL-, Rectangular Straight, 200, 200, 200, 200, 400, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, Galvanised Steel Z600, No, No
20442/7892,/1DVF2522GLB0001T001, BRCO, 2, /1DVF2522GL-, Rectangular Boot Branch Connector, 200, 200, 200, 200, 75, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA,  Stainless Steel 304L, No, No
28634/24903,NA, GASK, 3, /1DVF2522GL-, Rectangular Gasket, 200, 200, 200, 200, 3, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, NA, No, No
20442/25372,NA, TAPE, 4, /1DVF2522GL-, Rectangular Taper, 200, 200, 100, 150, 325, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, Galvanised Steel Z600, No, No
28634/24904,NA, GASK, 5, /1DVF2522GL-, Rectangular Gasket, 100, 150, 100, 150, 3, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, NA, No, No
20442/30227,NA, BEND, 6, /1DVF2522GL-, Rectangular 45 degree Radiused Bend, 100, 150, 100, 150, 427, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, Galvanised Steel Z600, No, No
28634/24905,NA, GASK, 7, /1DVF2522GL-, Rectangular Gasket, 100, 150, 100, 150, 3, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, NA, No, No
20442/30228,NA, BEND, 8, /1DVF2522GL-, Rectangular 45 degree Radiused Bend, 100, 150, 100, 150, 271, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, Galvanised Steel Z600, No, No
28634/24906,NA, GASK, 9, /1DVF2522GL-, Rectangular Gasket, 100, 150, 100, 150, 3, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, NA, No, No
20442/18946,NA, STRT, 10, /1DVF2522GL-, Rectangular Straight, 100, 150, 100, 150, 1050, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, Galvanised Steel Z600, No, No
28634/24907,NA, GASK, 11, /1DVF2522GL-, Rectangular Gasket, 100, 150, 100, 150, 3, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, NA, No, No
20442/30229,NA, BEND, 12, /1DVF2522GL-, Rectangular 45 degree Radiused Bend, 100, 150, 100, 150, 429, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, Galvanised Steel Z600, No, No
28634/24908,NA, GASK, 13, /1DVF2522GL-, Rectangular Gasket, 100, 150, 100, 150, 3, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, NA, No, No
20442/30230,NA, BEND, 14, /1DVF2522GL-, Rectangular 45 degree Radiused Bend, 100, 150, 100, 150, 271, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, Galvanised Steel Z600, No, No
28634/24909,NA, GASK, 15, /1DVF2522GL-, Rectangular Gasket, 100, 150, 100, 150, 3, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, NA, No, No
20442/18947,NA, STRT, 16, /1DVF2522GL-, Rectangular Straight, 100, 150, 100, 150, 1200, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, Galvanised Steel Z600, No, No
28634/24910,NA, GASK, 17, /1DVF2522GL-, Rectangular Gasket, 100, 150, 100, 150, 3, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, NA, No, No
20442/30233,NA, STRT, 18, /1DVF2522GL-, Rectangular Straight, 100, 150, 100, 150, 824, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, Galvanised Steel Z600, No, No
28634/24911,NA, GASK, 19, /1DVF2522GL-, Rectangular Gasket, 100, 150, 100, 150, 3, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, NA, No, No
20442/34537,/1DVF2516RA-, DAMP, 20, /1DVF2522GL-, Volume Control Dampers, 150, 100, 150, 100, 300, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, Galvanised Steel, No, No
28634/24912,NA, GASK, 21, /1DVF2522GL-, Rectangular Gasket, 150, 100, 150, 100, 3, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, NA, No, No
20442/34538,NA, STRT, 22, /1DVF2522GL-, Rectangular Straight, 150, 100, 150, 100, 450, 0, 19, /1HFB1904ZL- /1HFB1905ZL-, I&C Relay Room, 1HF Building, /1HFB1963VBTV004, Stainless Steel 304L, No, No
20442/34538,NA, SKIR, 22, /1DVF2522GL-, Penetration Spool Plate, 150, 100, 700, 575, 6, 0, 19, /1HFB1905ZL-, Telecom Room, 1HF Building, /1HFB1963VBTV004, Stainless Steel 304L, No, No
28634/24915,NA, GASK, 23, /1DVF2522GL-, Rectangular Gasket, 200, 200, 200, 200, 3, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, NA, No, No
20442/18942,/1DVF2510RA-, DAMP, 24, /1DVF2522GL-, Volume Control Dampers, 200, 200, 200, 200, 200, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, Galvanised Steel, No, No
28634/24916,NA, GASK, 25, /1DVF2522GL-, Rectangular Gasket, 200, 200, 200, 200, 3, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, NA, No, No
20442/68182,NA, STRT, 26, /1DVF2522GL-, Rectangular Straight, 200, 200, 200, 200, 75, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, Galvanised Steel Z600, No, No
20442/68183,NA, GASK, 27, /1DVF2522GL-, Rectangular Gasket, 200, 200, 200, 200, 3, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, NA, No, No
20442/4722,/1DVF2522BW-, MESH, 28, /1DVF2522GL-, Supply Air Grille - Double Deflection , 200, 200, 200, 200, 10, 0, 19, /1HFB1904ZL-, I&C Relay Room, 1HF Building, NA, Extruded Aluminium, No, No
28634/24949,NA, GASK, 1, /1DVF2530GL-, Rectangular Gasket, 150, 100, 150, 100, 3, 0, 19, /1HFB1906ZL-, Instrumentation Room, 1HF Building, NA, NA, No, No
36826/11,/1DVF2530RA-, DAMP, 2, /1DVF2530GL-, Volume Control Dampers, 150, 100, 150, 100, 300, 0, 19, /1HFB1906ZL-, Instrumentation Room, 1HF Building, NA, Galvanised Steel, No, No
28634/24950,NA, GASK, 3, /1DVF2530GL-, Rectangular Gasket, 150, 100, 150, 100, 3, 0, 19, /1HFB1906ZL-, Instrumentation Room, 1HF Building, NA, NA, No, No
36826/12,NA, STRT, 4, /1DVF2530GL-, Rectangular Straight, 150, 100, 150, 100, 1100, 0, 19, /1HFB1906ZL-, Instrumentation Room, 1HF Building, NA, Galvanised Steel Z600, No, No
36826/12,/1DVF2530GLB0001T001, BRCO, 4, /1DVF2530GL-, Rectangular Boot Branch Connector, 150, 100, 150, 100, 75, 0, 19, /1HFB1906ZL-, Instrumentation Room, 1HF Building, NA,  Stainless Steel 304L, No, No
28634/24952,NA, GASK, 5, /1DVF2530GL-, Rectangular Gasket, 150, 100, 150, 100, 3, 0, 19, /1HFB1906ZL-, Instrumentation Room, 1HF Building, NA, NA, No, No
20442/4835,/1DVF2531BW-, MESH, 6, /1DVF2530GL-, Supply Air Grille - Double Deflection , 150, 100, 150, 100, 10, 0, 19, /1HFB1906ZL-, Instrumentation Room, 1HF Building, NA, Extruded Aluminium, No, No
28634/24961,NA, GASK, 1, /1DVF2550GL-, Rectangular Gasket, 300, 300, 300, 300, 3, 0, 19, /1HFB1901ZL-, Firefighting Lobby, 1HF Building, NA, NA, No, No
20442/18882,/1DVF2551RA-, DAMP, 2, /1DVF2550GL-, Volume Control Dampers, 300, 300, 300, 300, 200, 0, 19, /1HFB1901ZL-, Firefighting Lobby, 1HF Building, NA, Galvanised Steel, No, No
28634/24962,NA, GASK, 3, /1DVF2550GL-, Rectangular Gasket, 300, 300, 300, 300, 3, 0, 19, /1HFB1901ZL-, Firefighting Lobby, 1HF Building, NA, NA, No, No
20442/18883,NA, BEND, 4, /1DVF2550GL-, Rectangular 90 degree Radiused Bend, 300, 300, 300, 300, 300, 0, 19, /1HFB1901ZL-, Firefighting Lobby, 1HF Building, NA, Galvanised Steel Z600, No, No
28634/24963,NA, GASK, 5, /1DVF2550GL-, Rectangular Gasket, 300, 300, 300, 300, 3, 0, 19, /1HFB1901ZL-, Firefighting Lobby, 1HF Building, NA, NA, No, No
20442/18886,NA, STRT, 6, /1DVF2550GL-, Rectangular Straight, 300, 300, 300, 300, 494, 0, 19, /1HFB1901ZL-, Firefighting Lobby, 1HF Building, NA, Galvanised Steel Z600, No, No
20442/18886,/1DVF2550GLB0001T001, BRCO, 6, /1DVF2550GL-, Rectangular Boot Branch Connector, 300, 300, 300, 300, 75, 0, 19, /1HFB1901ZL-, Firefighting Lobby, 1HF Building, NA,  Stainless Steel 304L, No, No
28634/24964,NA, GASK, 7, /1DVF2550GL-, Rectangular Gasket, 300, 300, 300, 300, 3, 0, 19, /1HFB1901ZL-, Firefighting Lobby, 1HF Building, NA, NA, No, No
20442/18884,NA, BEND, 8, /1DVF2550GL-, Rectangular 90 degree Radiused Bend, 300, 300, 300, 300, 315, 90, 19, /1HFB1901ZL-, Firefighting Lobby, 1HF Building, NA, Galvanised Steel Z600, No, No
28634/24965,NA, GASK, 9, /1DVF2550GL-, Rectangular Gasket, 300, 300, 300, 300, 3, 0, 19, /1HFB1901ZL-, Firefighting Lobby, 1HF Building, NA, NA, No, No
20442/18885,NA, BEND, 10, /1DVF2550GL-, Rectangular 90 degree Radiused Bend, 300, 300, 300, 300, 393, 90, 19, /1HFB1901ZL-, Firefighting Lobby, 1HF Building, NA, Galvanised Steel Z600, No, No
28634/24966,NA, GASK, 11, /1DVF2550GL-, Rectangular Gasket, 300, 300, 300, 300, 3, 0, 19, /1HFB1901ZL-, Firefighting Lobby, 1HF Building, NA, NA, No, No
20442/18894,/1DVF2552RA-, DAMP, 12, /1DVF2550GL-, Volume Control Dampers, 300, 300, 300, 300, 200, 90, 19, /1HFB1901ZL-, Firefighting Lobby, 1HF Building, NA, Galvanised Steel, No, No
