Flange Reference, Duct Reference, PDMS Duct Type, Line Number, Flange Height, Duct Length A (mm), Duct Width B (mm), Level
20442/24313/50A, 20442/24313, STRT, /1DVF2406GL-, 50, 350, 500, 14
20442/24313/50B, 20442/24313, STRT, /1DVF2406GL-, 50, 350, 500, 14
28634/8111/50A, 28634/8111, STRT, /1DVF2406GL-, 50, 350, 500, 14
28634/8111/50B, 28634/8111, STRT, /1DVF2406GL-, 50, 350, 500, 14
28634/20558/50A, 28634/20558, OFST, /1DVF2406GL-, 50, 350, 500, 14
28634/20558/50B, 28634/20558, OFST, /1DVF2406GL-, 50, 350, 500, 14
20442/19378/50A, 20442/19378, STRT, /1DVF2406GL-, 50, 500, 350, 14
20442/19378/50B, 20442/19378, STRT, /1DVF2406GL-, 50, 500, 350, 14
20442/57371/50A, 20442/57371, STRT, /1DVF2406GL-, 50, 500, 350, 14
20442/57371/50B, 20442/57371, STRT, /1DVF2406GL-, 50, 500, 350, 14
20442/57373/50A, 20442/57373, STRT, /1DVF2406GL-, 50, 500, 350, 14
20442/57373/50B, 20442/57373, STRT, /1DVF2406GL-, 50, 500, 350, 14
20442/57376/50A, 20442/57376, STRT, /1DVF2406GL-, 50, 500, 350, 14
20442/57376/50B, 20442/57376, STRT, /1DVF2406GL-, 50, 500, 350, 14
20442/57376/40C, 20442/57376, BRCO, /1DVF2406GL-, 40, 400, 200, 14
20442/57378/50A, 20442/57378, STRT, /1DVF2406GL-, 50, 500, 350, 14
20442/57378/50B, 20442/57378, STRT, /1DVF2406GL-, 50, 500, 350, 14
20442/57379/50A, 20442/57379, OFST, /1DVF2406GL-, 50, 500, 350, 14
20442/57379/50B, 20442/57379, OFST, /1DVF2406GL-, 50, 500, 350, 14
20442/57382/50A, 20442/57382, STRT, /1DVF2406GL-, 50, 500, 350, 14
20442/57382/50B, 20442/57382, STRT, /1DVF2406GL-, 50, 500, 350, 14
20442/57382/40C, 20442/57382, BRCO, /1DVF2406GL-, 40, 400, 200, 14
20442/57384/50A, 20442/57384, STRT, /1DVF2406GL-, 50, 500, 350, 14
20442/57384/40C, 20442/57384, BRCO, /1DVF2406GL-, 40, 400, 200, 14
28634/25925/40A, 28634/25925, OFST, /1DVF2412GL-, 40, 300, 300, 14
28634/25925/40B, 28634/25925, OFST, /1DVF2412GL-, 40, 300, 300, 14
20442/19399/40A, 20442/19399, STRT, /1DVF2412GL-, 40, 300, 300, 14
20442/19399/40B, 20442/19399, STRT, /1DVF2412GL-, 40, 300, 300, 14
20442/19399/40C, 20442/19399, BRCO, /1DVF2412GL-, 40, 150, 150, 14
28634/25923/40A, 28634/25923, OFST, /1DVF2412GL-, 40, 150, 150, 14
28634/25923/40B, 28634/25923, OFST, /1DVF2412GL-, 40, 150, 150, 14
20442/19425/40A, 20442/19425, STRT, /1DVF2412GL-, 40, 150, 150, 14
20442/19425/40B, 20442/19425, STRT, /1DVF2412GL-, 40, 150, 150, 14
20442/20009/40A, 20442/20009, STRT, /1DVF2413GL-, 40, 300, 300, 14
20442/20009/40B, 20442/20009, STRT, /1DVF2413GL-, 40, 300, 300, 14
28634/25924/40A, 28634/25924, OFST, /1DVF2413GL-, 40, 300, 300, 14
28634/25924/40B, 28634/25924, OFST, /1DVF2413GL-, 40, 300, 300, 14
20442/19429/40A, 20442/19429, STRT, /1DVF2413GL-, 40, 300, 300, 14
20442/19429/40B, 20442/19429, STRT, /1DVF2413GL-, 40, 300, 300, 14
20442/4315/40A, 20442/4315, STRT, /1DVF2413GL-, 40, 300, 300, 14
20442/4315/40B, 20442/4315, STRT, /1DVF2413GL-, 40, 300, 300, 14
20442/68205/40A, 20442/68205, STRT, /1DVF2413GL-, 40, 300, 300, 14
20442/68205/40B, 20442/68205, STRT, /1DVF2413GL-, 40, 300, 300, 14
20442/25825/50B, 20442/25825, STRT, /1DVF2501GL-, 0, 900, 900, 19
20442/25800/50A, 20442/25800, STRT, /1DVF2501GL-, 50, 900, 900, 19
20442/25800/50B, 20442/25800, STRT, /1DVF2501GL-, 50, 900, 900, 19
20442/25800/50C, 20442/25800, BRCO, /1DVF2501GL-, 50, 750, 800, 19
20442/52303/50A, 20442/52303, STRT, /1DVF2501GL-, 50, 900, 900, 19
20442/52303/50B, 20442/52303, STRT, /1DVF2501GL-, 50, 900, 900, 19
20442/25818/50A, 20442/25818, STRT, /1DVF2501GL-, 50, 800, 750, 19
20442/25818/50B, 20442/25818, STRT, /1DVF2501GL-, 50, 800, 750, 19
20442/25815/50A, 20442/25815, BEND, /1DVF2501GL-, 50, 800, 750, 19
20442/25815/50B, 20442/25815, BEND, /1DVF2501GL-, 50, 800, 750, 19
28634/5193/50A, 28634/5193, STRT, /1DVF2501GL-, 50, 750, 800, 19
28634/5193/50B, 28634/5193, STRT, /1DVF2501GL-, 50, 750, 800, 19
28634/5194/50A, 28634/5194, STRT, /1DVF2501GL-, 50, 750, 800, 19
28634/5194/50B, 28634/5194, STRT, /1DVF2501GL-, 50, 750, 800, 19
20442/25820/50A, 20442/25820, BEND, /1DVF2501GL-, 50, 750, 800, 19
20442/25820/50B, 20442/25820, BEND, /1DVF2501GL-, 50, 750, 800, 19
28634/7908/50A, 28634/7908, TAPE, /1DVF2502GL-, 50, 900, 900, 19
28634/7908/50B, 28634/7908, TAPE, /1DVF2502GL-, 50, 750, 800, 19
20442/52301/50A, 20442/52301, STRT, /1DVF2502GL-, 50, 750, 800, 19
20442/52301/50B, 20442/52301, STRT, /1DVF2502GL-, 50, 750, 800, 19
20442/18274/50A, 20442/18274, TAPE, /1DVF2506GL-, 50, 600, 1000, 19
20442/18274/50B, 20442/18274, TAPE, /1DVF2506GL-, 50, 800, 1000, 19
20442/18275/50A, 20442/18275, STRT, /1DVF2506GL-, 50, 1000, 800, 19
20442/18275/50B, 20442/18275, STRT, /1DVF2506GL-, 50, 1000, 800, 19
20442/18275/50C, 20442/18275, BRCO, /1DVF2506GL-, 50, 600, 1000, 19
20442/30380/50A, 20442/30380, TAPE, /1DVF2506GL-, 50, 800, 1000, 19
20442/30380/50B, 20442/30380, TAPE, /1DVF2506GL-, 50, 1000, 800, 19
20442/18859/50A, 20442/18859, BEND, /1DVF2506GL-, 50, 1000, 800, 19
20442/18859/50B, 20442/18859, BEND, /1DVF2506GL-, 50, 1000, 800, 19
20442/4361/50A, 20442/4361, STRT, /1DVF2506GL-, 50, 1000, 800, 19
20442/4361/50B, 20442/4361, STRT, /1DVF2506GL-, 50, 1000, 800, 19
28634/28704/50A, 28634/28704, TAPE, /1DVF2506GL-, 50, 800, 1000, 19
28634/28704/50B, 28634/28704, TAPE, /1DVF2506GL-, 50, 900, 900, 19
28634/28703/50A, 28634/28703, BEND, /1DVF2506GL-, 50, 900, 900, 19
28634/28703/50B, 28634/28703, BEND, /1DVF2506GL-, 50, 900, 900, 19
20442/23819/50A, 20442/23819, STRT, /1DVF2506GL-, 50, 900, 900, 19
20442/23819/50B, 20442/23819, STRT, /1DVF2506GL-, 50, 900, 900, 19
20442/23900/50A, 20442/23900, STRT, /1DVF2506GL-, 50, 900, 900, 19
20442/23900/50B, 20442/23900, STRT, /1DVF2506GL-, 50, 900, 900, 19
20442/23900/50C, 20442/23900, BRCO, /1DVF2506GL-, 50, 500, 300, 19
20442/18867/50A, 20442/18867, BEND, /1DVF2506GL-, 50, 900, 900, 19
20442/18867/50B, 20442/18867, BEND, /1DVF2506GL-, 50, 900, 900, 19
20442/18870/50A, 20442/18870, STRT, /1DVF2506GL-, 50, 900, 900, 19
20442/18870/50B, 20442/18870, STRT, /1DVF2506GL-, 50, 900, 900, 19
20442/26003/50A, 20442/26003, STRT, /1DVF2506GL-, 50, 600, 1000, 19
20442/26003/50B, 20442/26003, STRT, /1DVF2506GL-, 50, 600, 1000, 19
20442/19988/50A, 20442/19988, TAPE, /1DVF2509GL-, 50, 900, 900, 19
20442/19988/50B, 20442/19988, TAPE, /1DVF2509GL-, 50, 900, 850, 19
20442/19991/50A, 20442/19991, STRT, /1DVF2509GL-, 50, 900, 850, 19
20442/19991/50B, 20442/19991, STRT, /1DVF2509GL-, 50, 900, 850, 19
20442/19991/40C, 20442/19991, BRCO, /1DVF2509GL-, 40, 300, 250, 19
20442/18923/50A, 20442/18923, BEND, /1DVF2509GL-, 50, 900, 850, 19
20442/18923/50B, 20442/18923, BEND, /1DVF2509GL-, 50, 900, 850, 19
20442/18924/50A, 20442/18924, STRT, /1DVF2509GL-, 50, 900, 850, 19
20442/18924/50B, 20442/18924, STRT, /1DVF2509GL-, 50, 900, 850, 19
20442/20808/50A, 20442/20808, TAPE, /1DVF2509GL-, 50, 900, 850, 19
20442/20808/50B, 20442/20808, TAPE, /1DVF2509GL-, 50, 900, 800, 19
20442/18926/50A, 20442/18926, STRT, /1DVF2509GL-, 50, 900, 800, 19
20442/18926/50B, 20442/18926, STRT, /1DVF2509GL-, 50, 900, 800, 19
20442/30209/50A, 20442/30209, BEND, /1DVF2510GL-, 50, 500, 300, 19
20442/30209/50B, 20442/30209, BEND, /1DVF2510GL-, 50, 500, 300, 19
20442/30397/50A, 20442/30397, STRT, /1DVF2510GL-, 50, 500, 300, 19
20442/30397/50B, 20442/30397, STRT, /1DVF2510GL-, 50, 500, 300, 19
20442/4383/50A, 20442/4383, BEND, /1DVF2510GL-, 50, 500, 300, 19
20442/4383/50B, 20442/4383, BEND, /1DVF2510GL-, 50, 500, 300, 19
20442/18876/50A, 20442/18876, STRT, /1DVF2510GL-, 50, 500, 300, 19
20442/18876/50B, 20442/18876, STRT, /1DVF2510GL-, 50, 500, 300, 19
28634/11285/50A, 28634/11285, BEND, /1DVF2510GL-, 50, 300, 500, 19
28634/11285/50B, 28634/11285, BEND, /1DVF2510GL-, 50, 300, 500, 19
28634/11286/50A, 28634/11286, STRT, /1DVF2510GL-, 50, 300, 500, 19
28634/11286/50B, 28634/11286, STRT, /1DVF2510GL-, 50, 300, 500, 19
28634/11286/40C, 28634/11286, BRCO, /1DVF2510GL-, 40, 300, 300, 19
28634/11307/50A, 28634/11307, TAPE, /1DVF2510GL-, 50, 500, 300, 19
28634/11307/40B, 28634/11307, TAPE, /1DVF2510GL-, 50, 300, 300, 19
28634/11308/40A, 28634/11308, STRT, /1DVF2510GL-, 40, 300, 300, 23
28634/11308/40B, 28634/11308, STRT, /1DVF2510GL-, 40, 300, 300, 23
20442/68207/40A, 20442/68207, STRT, /1DVF2516GL-, 40, 150, 100, 19
20442/68207/40B, 20442/68207, STRT, /1DVF2516GL-, 40, 150, 100, 19
20442/18929/40A, 20442/18929, BEND, /1DVF2519GL-, 40, 300, 250, 19
20442/18929/40B, 20442/18929, BEND, /1DVF2519GL-, 40, 300, 250, 19
20442/18931/40A, 20442/18931, STRT, /1DVF2519GL-, 40, 300, 250, 19
20442/18931/40B, 20442/18931, STRT, /1DVF2519GL-, 40, 300, 250, 19
20442/18930/40A, 20442/18930, BEND, /1DVF2519GL-, 40, 300, 250, 19
20442/18930/40B, 20442/18930, BEND, /1DVF2519GL-, 40, 300, 250, 19
20442/23824/40A, 20442/23824, STRT, /1DVF2519GL-, 40, 300, 250, 19
20442/23824/40B, 20442/23824, STRT, /1DVF2519GL-, 40, 300, 250, 19
20442/18933/40A, 20442/18933, STRT, /1DVF2519GL-, 40, 300, 250, 19
20442/18933/40B, 20442/18933, STRT, /1DVF2519GL-, 40, 300, 250, 19
20442/18934/40A, 20442/18934, STRT, /1DVF2519GL-, 40, 300, 250, 19
20442/18934/40B, 20442/18934, STRT, /1DVF2519GL-, 40, 300, 250, 19
20442/18935/40A, 20442/18935, STRT, /1DVF2519GL-, 40, 300, 250, 19
20442/18935/40B, 20442/18935, STRT, /1DVF2519GL-, 40, 300, 250, 19
20442/57513/40A, 20442/57513, STRT, /1DVF2519GL-, 40, 300, 200, 19
20442/57513/40B, 20442/57513, STRT, /1DVF2519GL-, 40, 300, 200, 19
20442/57514/40A, 20442/57514, STRT, /1DVF2519GL-, 40, 300, 200, 19
20442/57514/40B, 20442/57514, STRT, /1DVF2519GL-, 40, 300, 200, 19
20442/57519/40A, 20442/57519, STRT, /1DVF2519GL-, 40, 300, 200, 19
20442/57519/40B, 20442/57519, STRT, /1DVF2519GL-, 40, 300, 200, 19
20442/57520/40A, 20442/57520, STRT, /1DVF2519GL-, 40, 300, 200, 19
20442/57520/40B, 20442/57520, STRT, /1DVF2519GL-, 40, 300, 200, 19
20442/57522/40A, 20442/57522, STRT, /1DVF2519GL-, 40, 200, 300, 19
20442/57522/40B, 20442/57522, STRT, /1DVF2519GL-, 40, 200, 300, 19
20442/57522/40C, 20442/57522, BRCO, /1DVF2519GL-, 40, 200, 200, 19
20442/57526/40A, 20442/57526, STRT, /1DVF2519GL-, 40, 200, 300, 19
20442/57526/40B, 20442/57526, STRT, /1DVF2519GL-, 40, 200, 300, 19
20442/57527/40A, 20442/57527, STRT, /1DVF2519GL-, 40, 200, 300, 19
20442/57527/40C, 20442/57527, BRCO, /1DVF2519GL-, 40, 200, 200, 19
20442/57571/40A, 20442/57571, STRT, /1DVF2519GL-, 40, 300, 250, 19
20442/57571/40B, 20442/57571, STRT, /1DVF2519GL-, 40, 300, 250, 19
20442/57574/40A, 20442/57574, STRT, /1DVF2519GL-, 40, 300, 250, 19
20442/57574/40B, 20442/57574, STRT, /1DVF2519GL-, 40, 300, 250, 19
20442/57574/40C, 20442/57574, BRCO, /1DVF2519GL-, 40, 200, 200, 19
20442/57576/40A, 20442/57576, STRT, /1DVF2519GL-, 40, 300, 250, 19
20442/57576/40B, 20442/57576, STRT, /1DVF2519GL-, 40, 300, 250, 19
20442/57578/40A, 20442/57578, STRT, /1DVF2519GL-, 40, 250, 300, 19
20442/57578/40B, 20442/57578, STRT, /1DVF2519GL-, 40, 250, 300, 19
20442/57580/40A, 20442/57580, TAPE, /1DVF2519GL-, 40, 300, 250, 19
20442/57580/40B, 20442/57580, TAPE, /1DVF2519GL-, 40, 300, 200, 19
20442/57581/40A, 20442/57581, STRT, /1DVF2519GL-, 40, 300, 200, 19
20442/57581/40B, 20442/57581, STRT, /1DVF2519GL-, 40, 300, 200, 19
20442/57581/40C, 20442/57581, BRCO, /1DVF2519GL-, 40, 150, 100, 19
20442/57585/40A, 20442/57585, STRT, /1DVF2519GL-, 40, 300, 200, 19
20442/57585/40B, 20442/57585, STRT, /1DVF2519GL-, 40, 300, 200, 19
20442/7892/40A, 20442/7892, STRT, /1DVF2522GL-, 40, 200, 200, 19
20442/7892/40B, 20442/7892, STRT, /1DVF2522GL-, 40, 200, 200, 19
20442/7892/40C, 20442/7892, BRCO, /1DVF2522GL-, 40, 200, 200, 19
20442/25372/40A, 20442/25372, TAPE, /1DVF2522GL-, 40, 200, 200, 19
20442/25372/40B, 20442/25372, TAPE, /1DVF2522GL-, 40, 100, 150, 19
20442/30227/40A, 20442/30227, BEND, /1DVF2522GL-, 40, 100, 150, 19
20442/30227/40B, 20442/30227, BEND, /1DVF2522GL-, 40, 100, 150, 19
20442/30228/40A, 20442/30228, BEND, /1DVF2522GL-, 40, 100, 150, 19
20442/30228/40B, 20442/30228, BEND, /1DVF2522GL-, 40, 100, 150, 19
20442/18946/40A, 20442/18946, STRT, /1DVF2522GL-, 40, 100, 150, 19
20442/18946/40B, 20442/18946, STRT, /1DVF2522GL-, 40, 100, 150, 19
20442/30229/40A, 20442/30229, BEND, /1DVF2522GL-, 40, 100, 150, 19
20442/30229/40B, 20442/30229, BEND, /1DVF2522GL-, 40, 100, 150, 19
20442/30230/40A, 20442/30230, BEND, /1DVF2522GL-, 40, 100, 150, 19
20442/30230/40B, 20442/30230, BEND, /1DVF2522GL-, 40, 100, 150, 19
20442/18947/40A, 20442/18947, STRT, /1DVF2522GL-, 40, 100, 150, 19
20442/18947/40B, 20442/18947, STRT, /1DVF2522GL-, 40, 100, 150, 19
20442/30233/40A, 20442/30233, STRT, /1DVF2522GL-, 40, 100, 150, 19
20442/30233/40B, 20442/30233, STRT, /1DVF2522GL-, 40, 100, 150, 19
20442/34538/40A, 20442/34538, STRT, /1DVF2522GL-, 40, 150, 100, 19
20442/34538/40B, 20442/34538, STRT, /1DVF2522GL-, 40, 150, 100, 19
20442/68182/40A, 20442/68182, STRT, /1DVF2522GL-, 40, 200, 200, 19
20442/68182/40B, 20442/68182, STRT, /1DVF2522GL-, 40, 200, 200, 19
36826/12/40A, 36826/12, STRT, /1DVF2530GL-, 40, 150, 100, 19
36826/12/40C, 36826/12, BRCO, /1DVF2530GL-, 40, 150, 100, 19
20442/18883/40A, 20442/18883, BEND, /1DVF2550GL-, 40, 300, 300, 19
20442/18883/40B, 20442/18883, BEND, /1DVF2550GL-, 40, 300, 300, 19
20442/18886/40A, 20442/18886, STRT, /1DVF2550GL-, 40, 300, 300, 19
20442/18886/40B, 20442/18886, STRT, /1DVF2550GL-, 40, 300, 300, 19
20442/18886/40C, 20442/18886, BRCO, /1DVF2550GL-, 40, 150, 100, 19
20442/18884/40A, 20442/18884, BEND, /1DVF2550GL-, 40, 300, 300, 19
20442/18884/40B, 20442/18884, BEND, /1DVF2550GL-, 40, 300, 300, 19
20442/18885/40A, 20442/18885, BEND, /1DVF2550GL-, 40, 300, 300, 19
20442/18885/40B, 20442/18885, BEND, /1DVF2550GL-, 40, 300, 300, 19
20442/18887/40A, 20442/18887, STRT, /1DVF2550GL-, 40, 300, 300, 19
20442/18887/40B, 20442/18887, STRT, /1DVF2550GL-, 40, 300, 300, 19
20442/18892/40A, 20442/18892, STRT, /1DVF2550GL-, 40, 300, 300, 19
20442/18892/40B, 20442/18892, STRT, /1DVF2550GL-, 40, 300, 300, 19
20442/68209/40A, 20442/68209, STRT, /1DVF2550GL-, 40, 300, 300, 19
20442/68209/40B, 20442/68209, STRT, /1DVF2550GL-, 40, 300, 300, 19
20442/69818/50A, 20442/69818, TAPE, /1DVF2601GL-, 50, 1700, 800, 23
20442/69818/50B, 20442/69818, TAPE, /1DVF2601GL-, 50, 1700, 1250, 23
28634/26799/50A, 28634/26799, STRT, /1DVF2601GL-, 50, 1700, 1250, 23
28634/26799/50B, 28634/26799, STRT, /1DVF2601GL-, 50, 1700, 1250, 23
28634/26799/50C, 28634/26799, BRCO, /1DVF2601GL-, 50, 1700, 800, 23
28634/26799/50D, 28634/26799, BRCO, /1DVF2601GL-, 50, 1700, 800, 23
28634/26801/50A, 28634/26801, STRT, /1DVF2601GL-, 50, 1700, 1250, 23
28634/26801/50B, 28634/26801, STRT, /1DVF2601GL-, 50, 1700, 1250, 23
28634/26803/50A, 28634/26803, STRT, /1DVF2601GL-, 50, 1700, 1250, 23
28634/26803/0B, 28634/26803, STRT, /1DVF2601GL-, 50, 1700, 1250, 23
20442/6897/40A, 20442/6897, STRT, /1DVF2602GL-, 40, 300, 300, 23
20442/6897/40B, 20442/6897, STRT, /1DVF2602GL-, 40, 300, 300, 23
20442/6897/40C, 20442/6897, BRCO, /1DVF2602GL-, 40, 150, 200, 23
28634/25035/40A, 28634/25035, TAPE, /1DVF2602GL-, 40, 300, 300, 23
28634/25035/40B, 28634/25035, TAPE, /1DVF2602GL-, 40, 250, 300, 23
20442/19433/40A, 20442/19433, STRT, /1DVF2602GL-, 40, 250, 300, 23
20442/19433/40B, 20442/19433, STRT, /1DVF2602GL-, 40, 250, 300, 23
20442/30219/40A, 20442/30219, STRT, /1DVF2602GL-, 40, 250, 300, 23
20442/30219/40B, 20442/30219, STRT, /1DVF2602GL-, 40, 250, 300, 23
20442/19445/40A, 20442/19445, STRT, /1DVF2701GL-, 40, 300, 250, 27
20442/19445/40B, 20442/19445, STRT, /1DVF2701GL-, 40, 300, 250, 27
20442/19446/40A, 20442/19446, STRT, /1DVF2701GL-, 40, 300, 250, 27
20442/19446/40C, 20442/19446, BRCO, /1DVF2701GL-, 40, 200, 300, 27
20442/19446/40D, 20442/19446, BRCO, /1DVF2701GL-, 40, 200, 200, 27
20442/19450/40A, 20442/19450, STRT, /1DVF2701GL-, 40, 200, 200, 27
20442/19450/40C, 20442/19450, BRCO, /1DVF2701GL-, 40, 200, 200, 27
20442/4880/40A, 20442/4880, STRT, /1DVF2706GL-, 40, 200, 300, 27
20442/4880/40B, 20442/4880, STRT, /1DVF2706GL-, 40, 200, 300, 27
20442/52098/40A, 20442/52098, STRT, /1DVF2706GL-, 40, 300, 200, 27
20442/52098/40B, 20442/52098, STRT, /1DVF2706GL-, 40, 300, 200, 27
20442/52101/40A, 20442/52101, STRT, /1DVF2706GL-, 40, 200, 300, 27
20442/52101/40B, 20442/52101, STRT, /1DVF2706GL-, 40, 200, 300, 27
28634/11357/40A, 28634/11357, BEND, /1DVF2706GL-, 40, 300, 200, 27
28634/11357/40B, 28634/11357, BEND, /1DVF2706GL-, 40, 300, 200, 27
28634/11358/40A, 28634/11358, STRT, /1DVF2706GL-, 40, 300, 200, 27
28634/11358/40B, 28634/11358, STRT, /1DVF2706GL-, 40, 300, 200, 27
28634/11359/40A, 28634/11359, STRT, /1DVF2706GL-, 40, 300, 200, 27
28634/11359/40B, 28634/11359, STRT, /1DVF2706GL-, 40, 300, 200, 27
20442/52096/40A, 20442/52096, STRT, /1DVF2706GL-, 40, 200, 300, 27
20442/52096/40B, 20442/52096, STRT, /1DVF2706GL-, 40, 200, 300, 27
28634/11363/40A, 28634/11363, STRT, /1DVF2706GL-, 40, 300, 200, 27
28634/11363/40B, 28634/11363, STRT, /1DVF2706GL-, 40, 300, 200, 27
20442/4888/40A, 20442/4888, STRT, /1DVF3102GL-, 40, 100, 100, 0A
20442/4888/40B, 20442/4888, STRT, /1DVF3102GL-, 40, 100, 100, 0A
20442/4893/40A, 20442/4893, STRT, /1DVF3104GL-, 40, 250, 200, 0A
20442/4893/40B, 20442/4893, STRT, /1DVF3104GL-, 40, 250, 200, 0A
20442/68191/40A, 20442/68191, STRT, /1DVF3104GL-, 40, 250, 200, 0A
20442/68191/40B, 20442/68191, STRT, /1DVF3104GL-, 40, 250, 200, 0A
20442/4898/40A, 20442/4898, STRT, /1DVF3106GL-, 40, 200, 200, 0A
20442/4898/40B, 20442/4898, STRT, /1DVF3106GL-, 40, 200, 200, 0A
20442/68193/40A, 20442/68193, STRT, /1DVF3106GL-, 40, 200, 200, 0A
20442/68193/40B, 20442/68193, STRT, /1DVF3106GL-, 40, 200, 200, 0A
20442/20094/40B, 20442/20094, STRT, /1DVF3201GL-, 0, 300, 250, 04
20442/20094/40C, 20442/20094, BRCO, /1DVF3201GL-, 40, 200, 200, 04
20442/20093/40A, 20442/20093, STRT, /1DVF3201GL-, 40, 300, 250, 04
20442/20093/40B, 20442/20093, STRT, /1DVF3201GL-, 40, 300, 250, 04
20442/20092/40A, 20442/20092, STRT, /1DVF3201GL-, 40, 300, 250, 04
20442/20092/40B, 20442/20092, STRT, /1DVF3201GL-, 40, 300, 250, 04
20442/20091/40A, 20442/20091, STRT, /1DVF3202GL-, 40, 300, 250, 04
20442/20091/40B, 20442/20091, STRT, /1DVF3202GL-, 40, 300, 250, 04
20442/20091/40C, 20442/20091, BRCO, /1DVF3202GL-, 40, 200, 200, 04
20442/20090/40A, 20442/20090, STRT, /1DVF3202GL-, 40, 300, 250, 04
20442/20090/40B, 20442/20090, STRT, /1DVF3202GL-, 40, 300, 250, 04
20442/20089/40A, 20442/20089, STRT, /1DVF3202GL-, 40, 300, 250, 04
20442/20089/40B, 20442/20089, STRT, /1DVF3202GL-, 40, 300, 250, 04
20442/20088/40A, 20442/20088, STRT, /1DVF3202GL-, 40, 300, 250, 04
20442/20088/40B, 20442/20088, STRT, /1DVF3202GL-, 40, 300, 250, 04
20442/20087/40A, 20442/20087, STRT, /1DVF3204GL-, 40, 300, 250, 04
20442/20087/40B, 20442/20087, STRT, /1DVF3204GL-, 40, 300, 250, 04
20442/20087/40C, 20442/20087, BRCO, /1DVF3204GL-, 40, 200, 200, 04
20442/20086/40A, 20442/20086, STRT, /1DVF3204GL-, 40, 300, 250, 04
20442/20086/40B, 20442/20086, STRT, /1DVF3204GL-, 40, 300, 250, 04
20442/20085/40A, 20442/20085, STRT, /1DVF3204GL-, 40, 300, 250, 04
20442/20085/40B, 20442/20085, STRT, /1DVF3204GL-, 40, 300, 250, 04
20442/20084/40A, 20442/20084, STRT, /1DVF3204GL-, 40, 300, 250, 04
20442/20084/40B, 20442/20084, STRT, /1DVF3204GL-, 40, 300, 250, 04
20442/20083/40A, 20442/20083, STRT, /1DVF3204GL-, 40, 300, 250, 04
20442/20083/40B, 20442/20083, STRT, /1DVF3204GL-, 40, 300, 250, 04
20442/20082/40A, 20442/20082, STRT, /1DVF3204GL-, 40, 300, 250, 04
20442/20082/40B, 20442/20082, STRT, /1DVF3204GL-, 40, 300, 250, 04
20442/20076/40A, 20442/20076, BEND, /1DVF3204GL-, 40, 250, 300, 04
20442/20076/40B, 20442/20076, BEND, /1DVF3204GL-, 40, 250, 300, 04
28634/8152/40A, 28634/8152, STRT, /1DVF3204GL-, 40, 250, 300, 04
28634/8152/40B, 28634/8152, STRT, /1DVF3204GL-, 40, 250, 300, 04
36826/4151/40A, 36826/4151, STRT, /1DVF3204GL-, 40, 250, 300, 04
36826/4151/40B, 36826/4151, STRT, /1DVF3204GL-, 40, 250, 300, 04
20442/20073/40A, 20442/20073, STRT, /1DVF3204GL-, 40, 250, 300, 04
20442/20073/40B, 20442/20073, STRT, /1DVF3204GL-, 40, 250, 300, 04
20442/4931/40A, 20442/4931, STRT, /1DVF3206GL-, 40, 100, 100, 04
20442/4931/40B, 20442/4931, STRT, /1DVF3206GL-, 40, 100, 100, 04
20442/946/40A, 20442/946, STRT, /1DVF3304GL-, 40, 150, 100, 10
20442/946/40B, 20442/946, STRT, /1DVF3304GL-, 40, 150, 100, 10
20442/20109/50A, 20442/20109, STRT, /1DVF3311GL-, 50, 650, 600, 10
20442/20109/50B, 20442/20109, STRT, /1DVF3311GL-, 50, 650, 600, 10
20442/20108/50A, 20442/20108, STRT, /1DVF3311GL-, 50, 650, 600, 10
20442/20108/50B, 20442/20108, STRT, /1DVF3311GL-, 50, 650, 600, 10
20442/20151/50A, 20442/20151, TAPE, /1DVF3311GL-, 50, 650, 650, 10
20442/20151/50B, 20442/20151, TAPE, /1DVF3311GL-, 50, 650, 600, 10
20442/47017/50A, 20442/47017, STRT, /1DVF3311GL-, 50, 650, 650, 10
20442/47017/50B, 20442/47017, STRT, /1DVF3311GL-, 50, 650, 650, 10
20442/20107/50A, 20442/20107, STRT, /1DVF3311GL-, 50, 650, 650, 10
20442/20107/50B, 20442/20107, STRT, /1DVF3311GL-, 50, 650, 650, 10
20442/20107/40C, 20442/20107, BRCO, /1DVF3311GL-, 40, 300, 250, 10
20442/20106/50A, 20442/20106, STRT, /1DVF3311GL-, 50, 650, 650, 10
20442/20106/50B, 20442/20106, STRT, /1DVF3311GL-, 50, 650, 650, 10
20442/954/50A, 20442/954, STRT, /1DVF3311GL-, 50, 650, 650, 10
20442/954/50B, 20442/954, STRT, /1DVF3311GL-, 50, 650, 650, 10
20442/953/50A, 20442/953, STRT, /1DVF3311GL-, 50, 650, 650, 10
20442/953/50B, 20442/953, STRT, /1DVF3311GL-, 50, 650, 650, 10
20442/20105/50A, 20442/20105, STRT, /1DVF3311GL-, 50, 650, 650, 10
20442/20105/50B, 20442/20105, STRT, /1DVF3311GL-, 50, 650, 650, 10
20442/951/50A, 20442/951, STRT, /1DVF3311GL-, 50, 650, 650, 10
20442/951/50B, 20442/951, STRT, /1DVF3311GL-, 50, 650, 650, 10
20442/950/50A, 20442/950, BEND, /1DVF3311GL-, 50, 650, 650, 10
20442/950/50B, 20442/950, BEND, /1DVF3311GL-, 50, 650, 650, 10
20442/20112/50A, 20442/20112, TAPE, /1DVF3311GL-, 50, 300, 800, 10
